Year,Age,Level,Employer,Role
1960,35,NFL,Washington Redskins,Line Coach
1961,36,NFL,Washington Redskins,Line Coach
1962,37,NFL,Washington Redskins,Line Coach
1963,38,NFL,Washington Redskins,Line Coach
1964,39,NFL,Washington Redskins,Line Coach
1965,40,NFL,Chicago Bears,Offensive Line
1966,41,NFL,Chicago Bears,Offensive Line
1967,42,NFL,Chicago Bears,Offensive Line
1968,43,NFL,Chicago Bears,Offensive Line
1969,44,NFL,Chicago Bears,Defensive Line
1970,45,NFL,Chicago Bears,Defensive Line
1971,46,NFL,Chicago Bears,Defensive Line
1972,47,NFL,Chicago Bears,Head Coach
1973,48,NFL,Chicago Bears,Head Coach
1974,49,NFL,Chicago Bears,Head Coach
1975,50,WFL,Chicago Winds,Head Coach
1976,51,NFL,Tampa Bay Buccaneers,Defensive Coordinator
1977,52,NFL,Tampa Bay Buccaneers,Defensive Coordinator
1978,53,NFL,Tampa Bay Buccaneers,Defensive Line
1979,54,NFL,Tampa Bay Buccaneers,Defensive Line
1980,55,NFL,Tampa Bay Buccaneers,Defensive Line
1981,56,NFL,Tampa Bay Buccaneers,Defensive Line
1982,57,NFL,Tampa Bay Buccaneers,Defensive Line
1983,58,NFL,Tampa Bay Buccaneers,Defensive Line
1984,59,NFL,Tampa Bay Buccaneers,Defensive Line
