,Year,Age,Level,Employer,Role
0,2000,22,College (FBS),LSU,Graduate Assistant
1,2001,23,College (FBS),LSU,Recruiting Assistant
2,2002,24,College (FBS),LSU,Recruiting Assistant
3,2003,25,NFL,Detroit Lions,Scouting Assistant
4,2004,26,NFL,Detroit Lions,Scouting Assistant
5,2005,27,NFL,Detroit Lions,Offensive Assistant
6,2006,28,NFL,Detroit Lions,Offensive Assistant
7,2007,29,NFL,Detroit Lions,Quarterbacks
8,2008,30,NFL,San Francisco 49ers,Offensive Assistant
9,2009,31,NFL,Denver Broncos,Wide Receivers
10,2010,32,NFL,Denver Broncos,Wide Receivers
11,2011,33,NFL,Denver Broncos,Quarterbacks
12,2012,34,NFL,Denver Broncos,Quarterbacks
13,2013,35,NFL,Denver Broncos,Offensive Coordinator
14,2014,36,NFL,Denver Broncos,Offensive Coordinator
15,2015,37,NFL,Chicago Bears,Offensive Coordinator
16,2016,38,NFL,Miami Dolphins,Head Coach
17,2017,39,NFL,Miami Dolphins,Head Coach
18,2018,40,NFL,Miami Dolphins,Head Coach
19,2019,41,NFL,New York Jets,Head Coach
20,2020,42,NFL,New York Jets,Head Coach
