,Year,Age,Level,Employer,Role
0,1967,23,High School,Albemarle High School (Charlottesville VA),Assistant Coach
1,1968,24,College,Army,Defensive Coach
2,1969,25,College,Army,Defensive Coach
3,1970,26,College,Virginia,Freshmen Team Head Coach
4,1971,27,College,Virginia,Defensive Line
5,1972,28,College,Virginia,Defensive Line
6,1973,29,College,North Carolina,Linebackers
7,1974,30,College,North Carolina,Linebackers
8,1975,31,College,North Carolina,Linebackers
9,1976,32,College,North Carolina,Linebackers
10,1977,33,College,North Carolina,Linebackers
11,1978,34,College,Air Force,Defensive Coordinator
12,1979,35,College,Air Force,Defensive Coordinator
13,1980,36,College,Texas Tech,Linebackers
14,1981,37,College,Wake Forest,Head Coach
15,1982,38,College,Wake Forest,Head Coach
16,1983,39,College,Wake Forest,Head Coach
17,1984,40,College,Wake Forest,Head Coach
18,1985,41,College,Wake Forest,Head Coach
19,1986,42,College,Wake Forest,Head Coach
20,1987,43,NFL,Atlanta Falcons,Special Teams/Tight Ends
21,1988,44,College,South Carolina,Offensive Coordinator
22,1989,45,NFL,New York Giants,Linebackers
23,1990,46,NFL,New York Giants,Linebackers
24,1991,47,NFL,New York Giants,Defensive Coordinator
25,1992,48,NFL,Cleveland Browns,Linebackers
26,1993,49,NFL,New England Patriots,Defensive Coordinator/Linebackers
27,1994,50,NFL,New England Patriots,Defensive Coordinator/Linebackers
28,1995,51,NFL,New England Patriots,Defensive Coordinator/Linebackers
29,1996,52,NFL,New England Patriots,Defensive Coordinator/Linebackers
30,1997,53,NFL,New York Jets,Linebackers
31,1998,54,NFL,New York Jets,Linebackers
32,1999,55,NFL,New York Jets,Linebackers
33,2000,56,NFL,New York Jets,Head Coach
34,2001,57,College,Virginia,Head Coach
35,2002,58,College,Virginia,Head Coach
36,2003,59,College,Virginia,Head Coach
37,2004,60,College,Virginia,Head Coach
38,2005,61,College,Virginia,Head Coach
39,2006,62,College,Virginia,Head Coach
40,2007,63,College,Virginia,Head Coach
41,2008,64,College,Virginia,Head Coach
42,2009,65,College,Virginia,Head Coach
43,2010,66,College,Georgia Tech,Defensive Coordinator
44,2011,67,College,Georgia Tech,Defensive Coordinator
45,2012,68,College,Georgia Tech,Defensive Coordinator
