Year,Age,Level,Employer,Role
1915,34,College,Stevens Tech,Head Coach
1916,35,College,Stevens Tech,Head Coach
1917,36,College,Stevens Tech,Head Coach
1918,37,College,Stevens Tech,Head Coach
1919,38,College,Stevens Tech,Head Coach
1920,39,College,Stevens Tech,Head Coach
1921,40,College,Stevens Tech,Head Coach
1922,41,College,Stevens Tech,Head Coach
1923,42,College,Stevens Tech,Head Coach
1924,43,College,Stevens Tech,Head Coach
1925,44,Independent,Orange Tornadoes,Head Coach
1926,45,Independent,Orange Tornadoes,Head Coach
1927,46,Independent,Orange Tornadoes,Head Coach
1928,47,Independent,Orange Tornadoes,Head Coach
1930,49,NFL,Newark Tornadoes,Head Coach
