,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,1999,41,Philadelphia Eagles,NFL,16,5,11,0,.313,-4.2,-3.3,-0.9,,,,,5,1,0,
1,2000,42,Philadelphia Eagles,NFL,16,11,5,0,.688,3.1,1.0,2.1,2,1,1,.500,2,2,0,
2,2001,43,Philadelphia Eagles,NFL,16,11,5,0,.688,7.7,0.9,6.8,3,2,1,.667,1,3,2,
3,2002,44,Philadelphia Eagles,NFL,16,12,4,0,.750,8.3,4.5,3.8,2,1,1,.500,1,3,2,
4,2003,45,Philadelphia Eagles,NFL,16,12,4,0,.750,4.4,2.9,1.5,2,1,1,.500,1,8,3,
5,2004,46,Philadelphia Eagles,NFL,16,13,3,0,.813,5.6,2.0,3.5,3,2,1,.667,1,10,7,NFC Champions
6,2005,47,Philadelphia Eagles,NFL,16,6,10,0,.375,-2.3,-0.7,-1.7,,,,,4,8,1,
7,2006,48,Philadelphia Eagles,NFL,16,10,6,0,.625,3.4,3.2,0.2,2,1,1,.500,1,4,1,
8,2007,49,Philadelphia Eagles,NFL,16,8,8,0,.500,5.3,0.1,5.1,,,,,4,4,1,
9,2008,50,Philadelphia Eagles,NFL,16,9,6,1,.594,7.8,4.7,3.2,3,2,1,.667,2,5,0,
10,2009,51,Philadelphia Eagles,NFL,16,11,5,0,.688,6.0,5.8,0.2,1,0,1,.000,2,8,4,
11,2010,52,Philadelphia Eagles,NFL,16,10,6,0,.625,4.2,5.4,-1.2,1,0,1,.000,1,6,3,
12,2011,53,Philadelphia Eagles,NFL,16,8,8,0,.500,4.7,3.1,1.7,,,,,2,14,10,
13,2012,54,Philadelphia Eagles,NFL,16,4,12,0,.250,-8.9,-5.3,-3.6,,,,,4,6,3,
14,2013,55,Kansas City Chiefs,NFL,16,11,5,0,.688,6.1,1.7,4.3,1,0,1,.000,2,8,7,
15,2014,56,Kansas City Chiefs,NFL,16,9,7,0,.563,5.7,0.0,5.7,,,,,2,6,2,
16,2015,57,Kansas City Chiefs,NFL,16,11,5,0,.688,9.0,3.7,5.3,2,1,1,.500,2,6,3,
17,2016,58,Kansas City Chiefs,NFL,16,12,4,0,.750,5.6,1.2,4.4,1,0,1,.000,1,3,1,
18,2017,59,Kansas City Chiefs,NFL,16,10,6,0,.625,3.4,3.8,-0.3,1,0,1,.000,1,6,2,
19,2018,60,Kansas City Chiefs,NFL,16,12,4,0,.750,8.9,12.6,-3.8,2,1,1,.500,1,6,3,
20,2019,61,Kansas City Chiefs,NFL,16,12,4,0,.750,9.1,6.2,2.9,3,3,0,1.000,1,8,4,Super Bowl Champions
21,2020,62,Kansas City Chiefs,NFL,3,3,0,0,1.000,10.4,9.3,1.1,,,,,1,0,0,
