Year,Age,Level,Employer,Role
1937,26,College,Ohio Wesleyan,Assistant Coach
1938,27,NFL,Cleveland Rams,Head Coach
1946,35,College,Washington and Lee,Head Coach
1947,36,College,Washington and Lee,Head Coach
1948,37,College,Washington and Lee,Head Coach
1949,38,College,Mississippi State,Line Coach
1950,39,College,West Virginia,Head Coach
1951,40,College,West Virginia,Head Coach
1952,41,College,West Virginia,Head Coach
1953,42,College,West Virginia,Head Coach
1954,43,College,West Virginia,Head Coach
1955,44,College,West Virginia,Head Coach
1956,45,College,West Virginia,Head Coach
1957,46,College,West Virginia,Head Coach
1958,47,College,West Virginia,Head Coach
1959,48,College,West Virginia,Head Coach
