,Year,Age,Level,Employer,Role
0,1930,25,NFL,New York Giants,Head Coach
1,1931,26,College,Yale,Backfield Coach
2,1932,27,NFL,Brooklyn Dodgers,Head Coach
3,1934,29,College,CCNY,Head Coach
4,1935,30,College,CCNY,Head Coach
5,1936,31,College,CCNY,Head Coach
6,1937,32,College,CCNY,Head Coach
7,1938,33,College,CCNY,Head Coach
8,1939,34,College,CCNY,Head Coach
9,1940,35,College,CCNY,Head Coach
10,1941,36,College,CCNY,Head Coach
11,1951,46,College,Brandeis,Head Coach
12,1952,47,College,Brandeis,Head Coach
13,1953,48,College,Brandeis,Head Coach
14,1954,49,College,Brandeis,Head Coach
15,1955,50,College,Brandeis,Head Coach
16,1956,51,College,Brandeis,Head Coach
17,1957,52,College,Brandeis,Head Coach
18,1958,53,College,Brandeis,Head Coach
19,1959,54,College,Brandeis,Head Coach
