,Year,Age,Level,Employer,Role
0,1993,24,College (FCS),Brown,Tight Ends
1,1994,25,College (FCS),Brown,Inside Linebackers
2,1995,26,College (FBS),Georgia Tech,Graduate Assistant
3,1996,27,College (FBS),Georgia Tech,Graduate Assistant
4,1997,28,College (FBS),Georgia Tech,Graduate Assistant
5,1998,29,College (FBS),Georgia Tech,Running Backs
6,1999,30,College (FBS),Georgia Tech,Running Backs
7,2000,31,College (FBS),Georgia Tech,Running Backs
8,2001,32,College (FBS),Georgia Tech,Offensive Coordinator/Quarterbacks
9,2002,33,College (FBS),Georgia Tech,Offensive Coordinator/Quarterbacks
10,2003,34,College (FBS),Maryland,Running Backs
11,2004,35,College (FBS),Maryland,Running Backs
12,2005,36,College (FBS),Duke,Offensive Coordinator/Quarterbacks
13,2006,37,College (FBS),Duke,Offensive Coordinator/Quarterbacks
14,2007,38,NFL,New England Patriots,Offensive Assistant
15,2008,39,NFL,New England Patriots,Wide Receivers
16,2009,40,NFL,New England Patriots,Quarterbacks
17,2010,41,NFL,New England Patriots,Quarterbacks
18,2011,42,NFL,New England Patriots,Offensive Coordinator
19,2012,43,College (FBS),Penn State,Head Coach
20,2013,44,College (FBS),Penn State,Head Coach
21,2014,45,NFL,Houston Texans,Head Coach
22,2015,46,NFL,Houston Texans,Head Coach
23,2016,47,NFL,Houston Texans,Head Coach
24,2017,48,NFL,Houston Texans,Head Coach
25,2018,49,NFL,Houston Texans,Head Coach
26,2019,50,NFL,Houston Texans,Head Coach
27,2020,51,NFL,Houston Texans,Head Coach
