,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1981,NYG,DC,28,10,16,13,22,28,22,7,20,25,21,26,7,12,24,23,9,27,3,3,21,24,10,2,1,14,23,7,4,21,2
1,1982,NYG,DC,28,15,16,11,14,16,17,8,24,24,14,26,14,9,8,16,3,13,7,8,23,22,20,9,10,25,2,6,8,14,11
2,1983,NYG,HC,28,26,27,23,8,15,25,28,16,22,25,25,27,3,8,27,26,18,5,16,17,12,5,3,1,26,12,16,21,12,15
3,1984,NYG,HC,28,9,5,15,14,13,19,2,13,22,19,27,2,9,5,10,10,9,11,8,14,10,9,2,11,10,20,16,12,16,15
4,1985,NYG,HC,28,8,14,4,2,5,6,15,2,4,2,11,14,20,10,11,8,7,2,5,14,2,2,3,3,23,21,4,12,6,1
5,1986,NYG,HC,28,1,6,2,5,10,8,9,5,6,7,11,2,22,17,9,17,12,2,2,4,1,1,4,6,2,26,19,3,7,4
6,1987,NYG,HC,28,19,23,18,12,18,22,24,22,24,28,27,23,13,10,6,21,16,7,13,15,20,13,14,6,16,25,10,5,12,4
7,1988,NYG,HC,28,5,7,9,16,20,8,3,14,23,12,27,10,11,14,8,2,20,11,9,16,9,10,3,10,5,26,18,20,23,5
8,1989,NYG,HC,28,2,9,4,11,20,12,5,2,15,6,26,10,25,20,18,6,11,5,2,11,5,4,7,5,13,8,7,6,8,11
9,1990,NYG,HC,28,2,2,2,6,17,15,1,2,8,7,24,2,27,22,17,1,7,2,1,8,5,4,6,7,20,17,6,2,4,3
10,1993,NWE,HC,28,23,24,22,11,12,22,18,4,13,19,22,4,5,12,17,24,18,13,11,24,24,22,10,17,25,6,4,18,19,9
11,1994,NWE,HC,28,6,11,9,7,4,8,25,11,27,11,28,11,1,1,4,27,8,18,12,1,8,19,11,26,3,16,16,14,4,12
12,1995,NWE,HC,30,24,25,25,19,12,23,24,12,10,8,14,29,1,15,27,13,28,28,25,18,16,22,11,23,13,14,25,27,22,26
13,1996,NWE,HC,30,5,7,5,12,7,2,10,22,26,7,25,11,2,3,4,8,14,19,14,10,11,6,20,3,20,29,28,6,4,19
14,1997,NYJ,HC,30,10,12,9,26,22,12,7,20,25,20,28,15,8,16,14,3,23,24,6,22,19,21,4,18,28,26,19,18,8,18
15,1998,NYJ,HC,30,4,10,5,5,4,5,8,5,13,12,21,13,14,4,3,5,6,7,2,13,7,14,11,21,19,22,9,2,4,2
16,1999,NYJ,HC,31,12,3,17,27,25,19,2,8,11,27,12,1,29,28,11,11,23,21,9,8,15,17,25,20,18,23,24,3,6,24
17,2003,DAL,HC,32,8,22,15,2,15,21,17,4,12,20,24,6,20,17,20,26,18,1,2,20,6,3,3,4,13,8,1,9,25,4
18,2004,DAL,HC,32,21,28,29,16,14,25,27,14,20,13,22,25,17,15,20,31,17,16,27,25,10,10,20,17,25,13,21,29,24,26
19,2005,DAL,HC,32,14,19,15,13,13,15,24,5,13,14,26,21,18,15,9,22,14,10,12,21,9,15,17,24,17,12,11,9,19,16
20,2006,DAL,HC,32,9,15,7,9,5,4,20,12,13,3,15,6,20,5,5,26,4,13,20,8,9,10,11,8,10,14,24,27,10,23
