Year,Age,Level,Employer,Role
1955,32,College,LSU,Offensive Line
1956,33,College,LSU,Offensive Line
1957,34,College,LSU,Offensive Line
1958,35,College,LSU,Offensive Line
1959,36,College,LSU,Offensive Line
1960,37,College,Florida State,Head Coach
1961,38,College,Florida State,Head Coach
1962,39,College,Florida State,Head Coach
1963,40,College,Florida State,Head Coach
1964,41,College,Florida State,Head Coach
1965,42,College,Florida State,Head Coach
1966,43,College,Florida State,Head Coach
1967,44,College,Florida State,Head Coach
1968,45,College,Florida State,Head Coach
1969,46,College,Florida State,Head Coach
1970,47,College,Florida State,Head Coach
1971,48,College,Rice,Head Coach
1972,49,NFL,Houston Oilers,Head Coach
1973,50,NFL,Houston Oilers,Head Coach
