,Year,Age,Level,Employer,Role
0,1960,29,College,California,Assistant Coach
1,1961,30,College,California,Assistant Coach
2,1962,31,College,California,Assistant Coach
3,1963,32,College,Stanford,Assistant Coach
4,1964,33,College,Stanford,Assistant Coach
5,1965,34,College,Stanford,Assistant Coach
6,1966,35,AFL,Oakland Raiders,Offensive Backfield
7,1967,36,COFL,San Jose Apaches,Head Coach
8,1968,37,AFL,Cincinnati Bengals,Wide Receivers
9,1969,38,AFL,Cincinnati Bengals,Wide Receivers
10,1970,39,NFL,Cincinnati Bengals,Wide Receivers
11,1971,40,NFL,Cincinnati Bengals,Quarterbacks
12,1972,41,NFL,Cincinnati Bengals,Quarterbacks
13,1973,42,NFL,Cincinnati Bengals,Quarterbacks
14,1974,43,NFL,Cincinnati Bengals,Quarterbacks
15,1975,44,NFL,Cincinnati Bengals,Quarterbacks
16,1976,45,NFL,San Diego Chargers,Offensive Coordinator
17,1977,46,College,Stanford,Head Coach
18,1978,47,College,Stanford,Head Coach
19,1979,48,NFL,San Francisco 49ers,Head Coach
20,1980,49,NFL,San Francisco 49ers,Head Coach
21,1981,50,NFL,San Francisco 49ers,Head Coach
22,1982,51,NFL,San Francisco 49ers,Head Coach
23,1983,52,NFL,San Francisco 49ers,Head Coach
24,1984,53,NFL,San Francisco 49ers,Head Coach
25,1985,54,NFL,San Francisco 49ers,Head Coach
26,1986,55,NFL,San Francisco 49ers,Head Coach
27,1987,56,NFL,San Francisco 49ers,Head Coach
28,1988,57,NFL,San Francisco 49ers,Head Coach
29,1992,61,College,Stanford,Head Coach
30,1993,62,College,Stanford,Head Coach
31,1994,63,College,Stanford,Head Coach
