Year,Age,Level,Employer,Role
1905,18,Amateur,Detroit Heralds,Head Coach
1906,19,Amateur,Detroit Heralds,Head Coach
1907,20,Amateur,Detroit Heralds,Head Coach
1908,21,Amateur,Detroit Heralds,Head Coach
1909,22,Amateur,Detroit Heralds,Head Coach
1910,23,Amateur,Detroit Heralds,Head Coach
1911,24,Semi-Pro,Detroit Heralds,Head Coach
1912,25,Semi-Pro,Detroit Heralds,Head Coach
1913,26,Semi-Pro,Detroit Heralds,Head Coach
1914,27,Semi-Pro,Detroit Heralds,Head Coach
1915,28,Semi-Pro,Detroit Heralds,Head Coach
1916,29,Semi-Pro,Detroit Heralds,Head Coach
1917,30,Semi-Pro,Detroit Heralds,Head Coach
1918,31,Semi-Pro,Detroit Heralds,Head Coach
1919,32,Semi-Pro,Detroit Heralds,Head Coach
1920,33,APFA,Detroit Heralds,Head Coach
1921,34,APFA,Detroit Tigers,Head Coach
