,Year,Age,Level,Employer,Role
0,1983,22,College,Carroll,Graduate Assistant
1,1984,23,College,Weber State,Graduate Assistant
2,1985,24,College,Carroll,Offensive Coordinator/QBs/WRs
3,1986,25,College,Carroll,Offensive Coordinator/QBs/WRs
4,1987,26,College,Weber State,Wide Receivers/Tight Ends
5,1988,27,College,Weber State,Wide Receivers/Tight Ends
6,1989,28,College,Idaho,Quarterbacks
7,1990,29,College,Idaho,Offensive Coordinator/QBs
8,1991,30,College,Idaho,Offensive Coordinator/QBs
9,1992,31,College,Arizona State,Quarterbacks
10,1993,32,College,Arizona State,Quarterbacks
11,1994,33,College,Nevada,Offensive Coordinator/QBs
12,1995,34,College,Utah State,Offensive Coordinator/QBs
13,1996,35,College,Utah State,Offensive Coordinator/QBs
14,1997,36,College,Utah State,Offensive Coordinator/QBs
15,1998,37,College,Louisville,Offensive Coordinator/QBs
16,1999,38,NFL,Jacksonville Jaguars,Quarterbacks
17,2000,39,NFL,Jacksonville Jaguars,Quarterbacks
18,2001,40,NFL,Jacksonville Jaguars,Offensive Coordinator
19,2002,41,College,Auburn,Offensive Coordinator/QBs
20,2003,42,College,Louisville,Head Coach
21,2004,43,College,Louisville,Head Coach
22,2005,44,College,Louisville,Head Coach
23,2006,45,College,Louisville,Head Coach
24,2007,46,NFL,Atlanta Falcons,Head Coach
25,2008,47,College,Arkansas,Head Coach
26,2009,48,College,Arkansas,Head Coach
27,2010,49,College,Arkansas,Head Coach
28,2011,50,College,Arkansas,Head Coach
29,2013,52,College,Western Kentucky,Head Coach
30,2014,53,College,Louisville,Head Coach
31,2015,54,College,Louisville,Head Coach
32,2016,55,College,Louisville,Head Coach
33,2017,56,College,Louisville,Head Coach
34,2018,57,College,Louisville,Head Coach
35,2020,59,College,Missouri State,Head Coach
36,2021,60,College,Missouri State,Head Coach
37,2022,61,College,Missouri State,Head Coach
38,2023,62,College,Texas A&M,Offensive Coordinator/QBs
39,2024,63,College,Arkansas,Offensive Coordinator
40,2025,64,College,Arkansas,Offensive Coordinator
