,Year,Age,Level,Employer,Role
0,1997,24,NFL,St. Louis Rams,Assistant
1,1998,25,NFL,Kansas City Chiefs,Assistant
2,1999,26,College (FBS),Syracuse,Wide Receivers
3,2000,27,College (FBS),USC,Tight Ends
4,2001,28,NFL,Washington Redskins,Quarterbacks
5,2002,29,NFL,San Diego Chargers,Quarterbacks
6,2003,30,NFL,San Diego Chargers,Quarterbacks
7,2004,31,NFL,San Diego Chargers,Quarterbacks
8,2005,32,NFL,San Diego Chargers,Quarterbacks
9,2006,33,NFL,New York Jets,Offensive Coordinator
10,2007,34,NFL,New York Jets,Offensive Coordinator
11,2008,35,NFL,New York Jets,Offensive Coordinator
12,2009,36,NFL,New York Jets,Offensive Coordinator
13,2010,37,NFL,New York Jets,Offensive Coordinator
14,2011,38,NFL,New York Jets,Offensive Coordinator
15,2012,39,NFL,St. Louis Rams,Offensive Coordinator
16,2013,40,NFL,St. Louis Rams,Offensive Coordinator
17,2014,41,NFL,St. Louis Rams,Offensive Coordinator
18,2015,42,College (FBS),Georgia,Offensive Coordinator
19,2016,43,NFL,Indianapolis Colts,Quarterbacks
20,2017,44,NFL,Indianapolis Colts,Quarterbacks
21,2018,45,NFL,Seattle Seahawks,Offensive Coordinator
22,2019,46,NFL,Seattle Seahawks,Offensive Coordinator
23,2020,47,NFL,Seattle Seahawks,Offensive Coordinator
24,2021,48,NFL,Jacksonville Jaguars,Quarterbacks/PGC
25,2022,49,NFL,Dallas Cowboys,Consultant
26,2023,50,NFL,Dallas Cowboys,Offensive Coordinator
27,2024,51,NFL,Dallas Cowboys,Offensive Coordinator
28,2025,52,NFL,Dallas Cowboys,Head Coach
