Year,Age,Level,Employer,Role
1980,34,NFL,San Francisco 49ers,Tight Ends
1981,35,NFL,Cincinnati Bengals,Wide Receivers
1982,36,NFL,Cincinnati Bengals,Wide Receivers
1983,37,NFL,Cincinnati Bengals,Wide Receivers
1984,38,NFL,Cincinnati Bengals,Wide Receivers
1985,39,NFL,Cincinnati Bengals,Offensive Coordinator
1986,40,NFL,Cincinnati Bengals,Offensive Coordinator
1987,41,NFL,Cincinnati Bengals,Offensive Coordinator
1988,42,NFL,Cincinnati Bengals,Offensive Coordinator
1989,43,NFL,Cincinnati Bengals,Offensive Coordinator
1990,44,NFL,New York Jets,Head Coach
1991,45,NFL,New York Jets,Head Coach
1992,46,NFL,New York Jets,Head Coach
1993,47,NFL,New York Jets,Head Coach
1994,48,NFL,Cincinnati Bengals,Offensive Coordinator
1995,49,NFL,Cincinnati Bengals,Offensive Coordinator
1996,50,NFL,Cincinnati Bengals,Offensive Coordinator/Interim HC
1997,51,NFL,Cincinnati Bengals,Head Coach
1998,52,NFL,Cincinnati Bengals,Head Coach
1999,53,NFL,Cincinnati Bengals,Head Coach
2000,54,NFL,Cincinnati Bengals,Head Coach
2002,56,NFL,Dallas Cowboys,Offensive Coordinator
