Year,Age,Level,Employer,Role
1957,30,CFL,Winnipeg Blue Bombers,Head Coach
1958,31,CFL,Winnipeg Blue Bombers,Head Coach
1959,32,CFL,Winnipeg Blue Bombers,Head Coach
1960,33,CFL,Winnipeg Blue Bombers,Head Coach
1961,34,CFL,Winnipeg Blue Bombers,Head Coach
1962,35,CFL,Winnipeg Blue Bombers,Head Coach
1963,36,CFL,Winnipeg Blue Bombers,Head Coach
1964,37,CFL,Winnipeg Blue Bombers,Head Coach
1965,38,CFL,Winnipeg Blue Bombers,Head Coach
1966,39,CFL,Winnipeg Blue Bombers,Head Coach
1967,40,NFL,Minnesota Vikings,Head Coach
1968,41,NFL,Minnesota Vikings,Head Coach
1969,42,NFL,Minnesota Vikings,Head Coach
1970,43,NFL,Minnesota Vikings,Head Coach
1971,44,NFL,Minnesota Vikings,Head Coach
1972,45,NFL,Minnesota Vikings,Head Coach
1973,46,NFL,Minnesota Vikings,Head Coach
1974,47,NFL,Minnesota Vikings,Head Coach
1975,48,NFL,Minnesota Vikings,Head Coach
1976,49,NFL,Minnesota Vikings,Head Coach
1977,50,NFL,Minnesota Vikings,Head Coach
1978,51,NFL,Minnesota Vikings,Head Coach
1979,52,NFL,Minnesota Vikings,Head Coach
1980,53,NFL,Minnesota Vikings,Head Coach
1981,54,NFL,Minnesota Vikings,Head Coach
1982,55,NFL,Minnesota Vikings,Head Coach
1983,56,NFL,Minnesota Vikings,Head Coach
1985,58,NFL,Minnesota Vikings,Head Coach
