,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2002,SDG,OC,32,17,13,21,26,16,20,7,9,8,7,7,6,21,22,28,17,20,30,22,18,10,11,17,18,23,31,32,26,15,28
1,2003,SDG,OC,32,29,28,30,24,14,16,20,25,6,9,1,18,12,19,13,21,22,27,31,28,29,25,13,20,29,22,21,32,25,22
2,2004,SDG,OC,32,4,3,3,13,10,3,3,4,6,2,16,8,28,16,5,1,6,18,11,8,1,3,21,6,22,32,31,11,3,22
3,2005,SDG,OC,32,14,25,7,6,10,5,17,12,9,4,6,14,13,12,4,17,9,13,13,27,3,1,18,3,23,28,28,17,26,18
4,2006,SDG,OC,32,1,3,1,2,4,1,1,2,2,1,4,2,25,16,8,2,6,10,7,15,3,7,15,20,14,27,13,12,17,3
5,2007,MIA,HC,32,32,22,31,27,28,26,14,27,23,10,16,19,12,24,29,15,31,23,30,28,32,32,30,30,27,1,4,28,23,31
6,2008,BAL,OC,32,6,3,1,5,18,11,8,1,4,5,22,11,30,28,22,9,17,2,3,1,1,3,1,5,20,21,2,7,1,3
7,2009,BAL,OC,32,11,4,6,8,13,9,5,7,5,1,4,7,25,18,16,7,13,3,3,7,17,5,6,1,17,14,8,7,5,14
8,2010,BAL,OC,32,3,9,6,15,22,16,7,6,14,18,28,13,24,20,15,6,13,10,3,15,3,5,1,8,24,30,21,9,8,7
9,2011,BAL,OC,32,5,11,5,5,15,12,16,8,10,10,12,24,18,19,13,5,19,3,3,13,13,2,6,2,7,15,4,1,17,3
10,2012,BAL,OC,32,9,8,11,15,16,10,2,12,11,6,12,3,15,15,18,6,15,17,12,14,29,20,23,8,8,16,17,2,19,16
