,Year,Age,Level,Employer,Role
0,1922,24,College,SW Oklahoma State,Head Coach
1,1923,25,College,SW Oklahoma State,Head Coach
2,1924,26,College,SW Oklahoma State,Head Coach
3,1925,27,College,SW Oklahoma State,Head Coach
4,1926,28,College,Illinois,Assistant Coach
5,1927,29,College,Illinois,Assistant Coach
6,1928,30,College,Illinois,Assistant Coach
7,1929,31,College,Illinois,Assistant Coach
8,1930,32,College,Illinois,Assistant Coach
9,1931,33,College,Duke,Ends Coach
10,1932,34,College,Duke,Ends Coach
11,1933,35,College,Duke,Ends Coach
12,1934,36,College,Duke,Ends Coach
13,1935,37,College,Duke,Ends Coach
14,1936,38,College,Duke,Ends Coach
15,1937,39,College,Duke,Ends Coach
16,1938,40,College,Duke,Ends Coach
17,1939,41,College,William & Mary,Head Coach
18,1940,42,College,William & Mary,Head Coach
19,1941,43,College,William & Mary,Head Coach
20,1942,44,College,William & Mary,Head Coach
21,1944,46,College,Auburn,Head Coach
22,1945,47,College,Auburn,Head Coach
23,1946,48,College,Auburn,Head Coach
24,1947,49,College,Auburn,Head Coach
25,1948,50,AAFC,Brooklyn Dodgers,Head Coach
26,1950,52,CFL,Hamilton Tiger Cats,Head Coach
27,1951,53,CFL,Hamilton Tiger Cats,Head Coach
28,1952,54,CFL,Hamilton Tiger Cats,Head Coach
29,1953,55,CFL,Hamilton Tiger Cats,Head Coach
30,1954,56,CFL,Hamilton Tiger Cats,Head Coach
31,1955,57,CFL,Hamilton Tiger Cats,Head Coach
