,Year,Age,Level,Employer,Role
0,1950,26,College,Case Tech,Assistant
1,1951,27,College,Case Tech,Assistant
2,1952,28,College,Case Tech,Assistant
3,1953,29,College,Case Tech,Assistant
4,1954,30,NFL,Baltimore Colts,Defensive Backs
5,1955,31,NFL,Baltimore Colts,Defensive Backs
6,1956,32,NFL,Baltimore Colts,Defensive Backs
7,1957,33,NFL,Baltimore Colts,Defensive Backs
8,1958,34,NFL,Baltimore Colts,Defensive Backs
9,1959,35,NFL,Baltimore Colts,Defensive Backs
10,1960,36,NFL,Baltimore Colts,Defensive Backs
11,1961,37,NFL,Baltimore Colts,Defensive Backs
12,1962,38,NFL,Baltimore Colts,Defensive Backs
13,1963,39,NFL,Baltimore Colts,Defensive Coordinator
14,1964,40,NFL,Baltimore Colts,Defensive Coordinator
15,1965,41,NFL,Baltimore Colts,Defensive Coordinator
16,1966,42,NFL,St. Louis Cardinals,Head Coach
17,1967,43,NFL,St. Louis Cardinals,Head Coach
18,1968,44,NFL,St. Louis Cardinals,Head Coach
19,1969,45,NFL,St. Louis Cardinals,Head Coach
20,1970,46,NFL,St. Louis Cardinals,Head Coach
21,1971,47,NFL,Washington Redskins,Defensive Coach
22,1972,48,NFL,Washington Redskins,Defensive Coach
23,1973,49,NFL,New York Jets,Defensive Coordinator
24,1974,50,NFL,New York Jets,Head Coach
25,1975,51,NFL,New York Jets,Head Coach
26,1976,52,NFL,Cincinnati Bengals,Defensive Backs
27,1977,53,NFL,Cincinnati Bengals,Defensive Backs
28,1978,54,NFL,Cincinnati Bengals,Defensive Backs
29,1979,55,NFL,Cincinnati Bengals,Defensive Backs
