Year,Age,Level,Employer,Role
1972,23,College,Connecticut,DL/WR
1973,24,College,Connecticut,DL/WR
1974,25,College,Connecticut,DL/WR
1975,26,College,Lehigh,Wide Receivers
1976,27,College,Colgate,Offensive Coordinator
1977,28,College,Colgate,Offensive Coordinator
1978,29,College,Colgate,Offensive Coordinator
1979,30,College,Colgate,Offensive Coordinator
1980,31,College,Colgate,Offensive Coordinator
1981,32,College,Colgate,Offensive Coordinator
1982,33,College,Colgate,Offensive Coordinator
1983,34,CFL,Montreal Concordes,Offensive Line
1984,35,USFL,New Jersey General,Wide Receivers
1985,36,USFL,New Jersey General,OC/QBs
1986,37,College,New Haven,Head Coach
1987,38,College,New Haven,Head Coach
1988,39,College,Boston University,Head Coach
1989,40,College,Boston University,Head Coach
1990,41,NFL,Houston Oilers,Wide Receivers
1991,42,NFL,Houston Oilers,Wide Receivers
1992,43,NFL,Houston Oilers,Wide Receivers
1993,44,NFL,New England Patriots,Wide Receivers
1994,45,NFL,New England Patriots,Wide Receivers
1995,46,NFL,New England Patriots,Wide Receivers
1996,47,NFL,New England Patriots,Quarterbacks
1997,48,NFL,Jacksonville Jaguars,Offensive Coordinator
1998,49,NFL,Jacksonville Jaguars,Offensive Coordinator
1999,50,NFL,Cleveland Browns,Head Coach
2000,51,NFL,Cleveland Browns,Head Coach
2002,53,NFL,Houston Texans,Offensive Coordinator
2003,54,NFL,Houston Texans,Offensive Coordinator
2004,55,NFL,Houston Texans,Offensive Coordinator
2005,56,NFL,Houston Texans,Offensive Coordinator
2006,57,NFL,Dallas Cowboys,Quarterbacks
2007,58,NFL,New York Giants,Quarterbacks
2008,59,NFL,New York Giants,Quarterbacks
2009,60,NFL,New York Giants,Quarterbacks
2010,61,UFL,Hartford Colonials,Head Coach
2011,62,NFL,Tennessee Titans,Offensive Coordinator
2012,63,NFL,Tennessee Titans,Offensive Coordinator
2014,65,NFL,San Francisco 49ers,Offensive Assistant
2015,66,NFL,Buffalo Bills,Sr. Offensive Assistant
2016,67,NFL,Buffalo Bills,Sr. Offensive Assistant
