,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1969,PIT,HC,16,15,10,16,15,14,15,16,9,11,14,11,15,9,13,13,16,14,10,16,4,11,8,13,7,4,10,12,14,3,12
1,1970,PIT,HC,26,19,22,20,19,20,21,25,16,12,9,12,19,16,18,19,26,21,14,16,7,25,12,7,7,12,19,17,24,6,11
2,1971,PIT,HC,26,14,19,16,20,17,17,17,20,13,18,9,14,5,14,10,18,21,18,17,14,9,5,14,3,6,23,26,15,18,24
3,1972,PIT,HC,26,2,1,2,8,13,5,3,11,2,2,1,12,19,22,19,3,22,8,2,1,10,6,1,7,1,26,10,2,1,2
4,1973,PIT,HC,26,4,2,4,6,11,4,22,3,8,14,17,8,18,15,5,23,11,4,8,1,9,5,6,4,6,18,5,5,1,4
5,1974,PIT,HC,26,3,5,3,2,8,6,24,4,2,5,4,25,10,21,15,14,20,1,2,1,12,6,2,4,1,6,1,13,3,1
6,1975,PIT,HC,26,1,11,1,5,7,5,7,5,2,5,2,22,23,14,5,2,8,4,2,13,3,8,3,22,23,18,4,1,4,5
7,1976,PIT,HC,28,7,2,1,1,9,5,7,1,1,1,3,18,28,22,21,3,13,1,1,5,4,1,1,1,3,16,6,3,9,6
8,1977,PIT,HC,28,7,17,10,3,4,7,27,6,7,2,13,28,16,5,8,13,2,7,17,5,8,5,7,5,16,16,12,22,1,11
9,1978,PIT,HC,28,1,5,2,5,8,5,15,3,14,12,23,10,22,12,1,15,2,3,1,2,6,2,2,2,3,19,12,2,7,5
10,1979,PIT,HC,28,1,24,2,1,1,1,28,12,2,2,1,28,9,2,5,24,2,2,5,8,7,4,2,2,20,21,10,14,4,2
11,1980,PIT,HC,28,11,14,13,8,6,10,23,16,15,14,17,20,14,6,9,13,4,12,15,11,11,7,4,4,13,24,22,22,6,18
12,1981,PIT,HC,28,13,9,10,15,11,8,15,9,5,5,5,24,23,13,7,8,7,22,11,7,11,8,2,8,19,23,26,14,3,24
13,1982,PIT,HC,28,5,14,7,12,8,8,22,12,8,14,6,10,16,17,2,24,12,17,4,7,4,1,2,3,18,26,23,17,4,12
14,1983,PIT,HC,28,5,12,7,9,22,14,19,2,4,10,10,20,27,27,23,15,27,3,7,8,14,7,12,3,13,3,5,6,3,12
15,1984,PIT,HC,28,9,11,9,6,8,8,21,3,6,15,19,10,25,15,7,21,4,5,11,5,7,4,11,2,22,15,15,9,2,16
16,1985,PIT,HC,28,16,16,12,8,13,9,11,7,13,17,15,2,13,13,8,23,13,6,15,21,12,12,19,12,19,7,2,6,16,8
17,1986,PIT,HC,28,19,16,19,21,20,18,13,4,7,7,14,13,21,24,21,12,23,18,17,20,11,15,4,19,20,20,18,21,14,15
18,1987,PIT,HC,28,10,4,16,24,25,20,9,4,5,20,6,1,25,28,27,26,28,13,10,5,12,4,5,4,11,13,23,14,3,27
19,1988,PIT,HC,28,22,22,24,24,15,13,24,13,6,8,4,25,18,21,20,16,19,28,28,16,21,14,22,5,18,23,27,24,12,28
20,1989,PIT,HC,28,10,3,21,28,28,24,7,11,18,6,21,23,28,28,28,3,28,19,15,3,21,19,19,18,3,22,16,8,9,13
21,1990,PIT,HC,28,10,5,11,10,22,20,13,14,13,18,10,23,26,25,14,9,13,1,3,3,16,11,16,5,5,7,1,1,3,1
22,1991,PIT,HC,28,18,11,21,22,20,17,11,19,17,22,9,11,23,18,7,11,21,22,22,17,21,11,18,3,21,23,26,21,7,21
