Year,Age,Level,Employer,Role
1926,23,College,St. Vincent (PA),Head Coach
1927,24,College,St. Vincent (PA),Head Coach
1928,25,College,St. Vincent (PA),Head Coach
1929,26,College,St. Vincent (PA),Head Coach
1930,27,College,St. Vincent (PA),Head Coach
1931,28,College,St. Vincent (PA),Head Coach
1936,33,College,Xavier,Head Coach
1937,34,College,Xavier,Head Coach
1938,35,College,Xavier,Head Coach
1939,36,College,Xavier,Head Coach
1940,37,College,Xavier,Head Coach
1941,38,College,Xavier,Head Coach
1942,39,College,Xavier,Head Coach
1943,40,College,Xavier,Head Coach
1945,42,College,Iowa,Head Coach
1946,43,AAFC,Buffalo Bisons,Line Coach
1947,44,AAFC,Buffalo Bills,Line Coach
1948,45,AAFC,Buffalo Bills,Line Coach
1949,46,AAFC,Buffalo Bills,Head Coach
1950,47,NFL,Baltimore Colts,Head Coach
1951,48,CFL,Ottawa Rough Riders,Head Coach
1952,49,CFL,Ottawa Rough Riders,Head Coach
1953,50,CFL,Ottawa Rough Riders,Head Coach
1954,51,CFL,Ottawa Rough Riders,Head Coach
1956,53,CFL,British Columbia Lions,Head Coach
1957,54,CFL,British Columbia Lions,Head Coach
1958,55,CFL,British Columbia Lions,Head Coach
