Year,Age,Level,Employer,Role
1954,23,College,Dayton,Ends
1955,24,College,Ohio State,Backfield Coach
1956,25,College,Ohio State,Backfield Coach
1957,26,College,Ohio State,Backfield Coach
1958,27,College,Oklahoma,Backfield Coach
1959,28,College,Ohio State,Backfield Coach
1960,29,College,Toledo,Head Coach
1961,30,College,Toledo,Head Coach
1962,31,College,Toledo,Head Coach
1963,32,AFL,New York Jets,Offensive Backs
1964,33,AFL,New York Jets,Offensive Coordinator
1965,34,AFL,New York Jets,Offensive Coordinator
1966,35,AFL,New York Jets,Offensive Coordinator
1967,36,AFL,New York Jets,Offensive Coordinator
1968,37,AFL,New York Jets,Offensive Coordinator
1969,38,AFL,Boston Patriots,Head Coach
1970,39,NFL,Boston Patriots,Head Coach
1976,45,College,Merchant Marine Academy,Head Coach
