,Year,Age,Level,Employer,Role
0,1975,31,NFL,Dallas Cowboys,Offensive Backfield
1,1976,32,NFL,Dallas Cowboys,Offensive Backfield
2,1977,33,NFL,Dallas Cowboys,Offensive Coordinator
3,1978,34,NFL,Dallas Cowboys,Offensive Coordinator
4,1979,35,NFL,Dallas Cowboys,Offensive Coordinator
5,1980,36,NFL,Dallas Cowboys,Offensive Coordinator
6,1981,37,NFL,Denver Broncos,Head Coach
7,1982,38,NFL,Denver Broncos,Head Coach
8,1983,39,NFL,Denver Broncos,Head Coach
9,1984,40,NFL,Denver Broncos,Head Coach
10,1985,41,NFL,Denver Broncos,Head Coach
11,1986,42,NFL,Denver Broncos,Head Coach
12,1987,43,NFL,Denver Broncos,Head Coach
13,1988,44,NFL,Denver Broncos,Head Coach
14,1989,45,NFL,Denver Broncos,Head Coach
15,1990,46,NFL,Denver Broncos,Head Coach
16,1991,47,NFL,Denver Broncos,Head Coach
17,1992,48,NFL,Denver Broncos,Head Coach
18,1993,49,NFL,New York Giants,Head Coach
19,1994,50,NFL,New York Giants,Head Coach
20,1995,51,NFL,New York Giants,Head Coach
21,1996,52,NFL,New York Giants,Head Coach
22,1997,53,NFL,Atlanta Falcons,Head Coach
23,1998,54,NFL,Atlanta Falcons,Head Coach
24,1999,55,NFL,Atlanta Falcons,Head Coach
25,2000,56,NFL,Atlanta Falcons,Head Coach
26,2001,57,NFL,Atlanta Falcons,Head Coach
27,2002,58,NFL,Atlanta Falcons,Head Coach
28,2003,59,NFL,Atlanta Falcons,Head Coach
