Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
1993,41,CHI,NFL,16,7,9,0,.438,-0.2,-4.6,4.3,,,,,4,,,
1994,42,CHI,NFL,16,9,7,0,.563,-1.9,-3.2,1.3,2,1,1,.500,4,,,
1995,43,CHI,NFL,16,9,7,0,.563,2.3,3.1,-0.8,,,,,3,,,
1996,44,CHI,NFL,16,7,9,0,.438,-0.2,-1.4,1.2,,,,,3,,,
1997,45,CHI,NFL,16,4,12,0,.250,-8.5,-3.1,-5.3,,,,,5,,,
1998,46,CHI,NFL,16,4,12,0,.250,-3.7,-3.4,-0.3,,,,,5,,,
2000,48,MIA,NFL,16,11,5,0,.688,7.1,0.0,7.1,2,1,1,.500,1,3,1,
2001,49,MIA,NFL,16,11,5,0,.688,2.7,-0.3,3.1,1,0,1,.000,2,9,3,
2002,50,MIA,NFL,16,9,7,0,.563,6.1,1.7,4.4,,,,,3,7,3,
2003,51,MIA,NFL,16,10,6,0,.625,3.4,-0.7,4.1,,,,,2,5,2,
2004,52,MIA,NFL,9,1,8,0,.111,-2.2,-2.7,0.5,,,,,4,9,2,Fired after week 9
