,Year,Age,Level,Employer,Role
0,1985,35,NFL,Buffalo Bills,Defensive Assistant
1,1986,36,NFL,Green Bay Packers,Defensive Backs
2,1987,37,NFL,Green Bay Packers,Defensive Backs
3,1988,38,NFL,Green Bay Packers,Defensive Backs
4,1989,39,NFL,Green Bay Packers,Defensive Backs
5,1990,40,NFL,Green Bay Packers,Defensive Backs
6,1991,41,NFL,Green Bay Packers,Defensive Backs
7,1992,42,NFL,Green Bay Packers,Defensive Backs
8,1993,43,NFL,Green Bay Packers,Defensive Backs
9,1994,44,NFL,Green Bay Packers,Defensive Backs
10,1995,45,NFL,Jacksonville Jaguars,Defensive Coordinator
11,1996,46,NFL,Jacksonville Jaguars,Defensive Coordinator
12,1997,47,NFL,Jacksonville Jaguars,Defensive Coordinator
13,1998,48,NFL,Jacksonville Jaguars,Defensive Coordinator
14,1999,49,NFL,Chicago Bears,Head Coach
15,2000,50,NFL,Chicago Bears,Head Coach
16,2001,51,NFL,Chicago Bears,Head Coach
17,2002,52,NFL,Chicago Bears,Head Coach
18,2003,53,NFL,Chicago Bears,Head Coach
19,2004,54,NFL,Detroit Lions,Defensive Coordinator
20,2005,55,NFL,Detroit Lions,Defensive Coordinator/Interim Head Coach
21,2006,56,NFL,Buffalo Bills,Head Coach
22,2007,57,NFL,Buffalo Bills,Head Coach
23,2008,58,NFL,Buffalo Bills,Head Coach
24,2009,59,NFL,Buffalo Bills,Head Coach
25,2010,60,NFL,Philadelphia Eagles,Defensive Backs/Assistant Head Coach
26,2011,61,NFL,Cleveland Browns,Defensive Coordinator
27,2012,62,NFL,Cleveland Browns,Defensive Coordinator
