,Year,Age,Level,Employer,Role
0,1962,30,NFL,Dallas Cowboys,Defensive Backs
1,1963,31,NFL,Dallas Cowboys,Defensive Backs
2,1964,32,NFL,Dallas Cowboys,Defensive Backs
3,1965,33,NFL,Dallas Cowboys,Defensive Backs
4,1966,34,NFL,Dallas Cowboys,Defensive Coordinator
5,1967,35,NFL,Dallas Cowboys,Defensive Coordinator
6,1968,36,NFL,San Francisco 49ers,Head Coach
7,1969,37,NFL,San Francisco 49ers,Head Coach
8,1970,38,NFL,San Francisco 49ers,Head Coach
9,1971,39,NFL,San Francisco 49ers,Head Coach
10,1972,40,NFL,San Francisco 49ers,Head Coach
11,1973,41,NFL,San Francisco 49ers,Head Coach
12,1974,42,NFL,San Francisco 49ers,Head Coach
13,1975,43,NFL,San Francisco 49ers,Head Coach
14,1977,45,NFL,New Orleans Saints,Linebackers
15,1978,46,NFL,New Orleans Saints,Head Coach
16,1979,47,NFL,New Orleans Saints,Head Coach
17,1980,48,NFL,New Orleans Saints,Head Coach
18,1981,49,NFL,Houston Oilers,Defensive Coordinator
19,1982,50,NFL,Dallas Cowboys,Receivers
20,1983,51,NFL,Dallas Cowboys,Receivers
21,1984,52,NFL,Dallas Cowboys,Receivers
22,1985,53,NFL,Dallas Cowboys,Receivers
23,1986,54,NFL,Dallas Cowboys,Defensive Backs
24,1987,55,NFL,Dallas Cowboys,Defensive Backs
25,1988,56,NFL,Dallas Cowboys,Defensive Backs
26,1989,57,NFL,Dallas Cowboys,Defensive Backs
27,1990,58,NFL,Dallas Cowboys,Defensive Backs
28,1992,60,AFL,San Antonio Force,Head Coach
