,Year,Age,Level,Employer,Role
0,1952,28,High School,Farrington HS (Honolulu HI),Head Coach
1,1953,29,College,Univ. of British Columbia,Head Coach
2,1954,30,College,Univ. of British Columbia,Head Coach
3,1955,31,College,Wenatchee Valley Coll.,Head Coach
4,1956,32,Military,Fort Ord,Head Coach
5,1957,33,College,Whittier Coll.,Head Coach
6,1958,34,College,Whittier Coll.,Head Coach
7,1959,35,College,Whittier Coll.,Head Coach
8,1960,36,College,Southern California,Assistant Coach
9,1961,37,College,San Diego State,Head Coach
10,1962,38,College,San Diego State,Head Coach
11,1963,39,College,San Diego State,Head Coach
12,1964,40,College,San Diego State,Head Coach
13,1965,41,College,San Diego State,Head Coach
14,1966,42,College,San Diego State,Head Coach
15,1967,43,College,San Diego State,Head Coach
16,1968,44,College,San Diego State,Head Coach
17,1969,45,College,San Diego State,Head Coach
18,1970,46,College,San Diego State,Head Coach
19,1971,47,College,San Diego State,Head Coach
20,1972,48,College,San Diego State,Head Coach
21,1973,49,NFL,St. Louis Cardinals,Head Coach
22,1974,50,NFL,St. Louis Cardinals,Head Coach
23,1975,51,NFL,St. Louis Cardinals,Head Coach
24,1976,52,NFL,St. Louis Cardinals,Head Coach
25,1977,53,NFL,St. Louis Cardinals,Head Coach
26,1978,54,NFL,San Diego Chargers,Head Coach
27,1979,55,NFL,San Diego Chargers,Head Coach
28,1980,56,NFL,San Diego Chargers,Head Coach
29,1981,57,NFL,San Diego Chargers,Head Coach
30,1982,58,NFL,San Diego Chargers,Head Coach
31,1983,59,NFL,San Diego Chargers,Head Coach
32,1984,60,NFL,San Diego Chargers,Head Coach
33,1985,61,NFL,San Diego Chargers,Head Coach
34,1986,62,NFL,San Diego Chargers,Head Coach
