Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1973,STL,HC,26,20,18,19,25,12,11,8,25,22,12,13,8,5,5,9,10,12,26,23,24,14,17,19,18,13,26,26,25,26,26
1974,STL,HC,26,4,4,7,12,10,9,1,16,13,16,5,2,8,7,4,1,12,17,8,22,9,15,12,19,24,23,19,4,19,12
1975,STL,HC,26,4,16,9,10,5,7,17,8,6,7,3,19,18,6,6,15,1,18,11,13,11,10,15,11,16,26,24,12,10,16
1976,STL,HC,28,7,14,12,6,3,8,20,4,8,8,18,26,7,5,7,5,3,12,16,9,10,12,22,17,9,7,15,9,12,19
1977,STL,HC,28,14,19,18,15,7,11,17,16,12,4,10,16,12,2,14,13,1,24,23,19,11,22,10,26,20,21,26,27,17,22
1978,SDG,HC,28,8,27,7,4,4,6,26,9,20,12,25,21,4,1,2,23,3,8,21,19,4,15,5,24,18,18,7,27,13,3
1979,SDG,HC,28,1,5,1,4,5,2,8,25,27,2,26,1,5,1,6,22,3,5,2,3,1,8,17,15,10,19,7,1,3,5
1980,SDG,HC,28,4,25,6,1,1,4,28,17,16,8,24,27,2,1,3,22,2,6,18,13,8,10,20,16,5,20,6,8,18,4
1981,SDG,HC,28,6,13,5,6,1,1,13,20,16,1,10,24,2,1,1,7,1,27,26,11,9,5,27,7,12,28,28,14,11,27
1982,SDG,HC,28,5,5,3,1,1,1,10,19,11,1,4,5,2,1,1,13,1,25,24,7,2,9,21,24,5,27,28,8,10,24
1983,SDG,HC,28,23,27,26,11,1,12,27,25,25,14,24,23,2,1,9,28,3,26,28,22,21,18,27,11,13,24,25,24,24,24
1984,SDG,HC,28,17,15,17,7,4,6,16,22,24,6,24,20,1,2,7,13,5,26,24,12,8,10,26,18,9,21,28,23,16,27
1985,SDG,HC,28,12,22,11,10,1,1,27,20,20,4,21,18,1,1,1,27,1,28,25,7,12,13,27,18,15,27,28,25,5,27
1986,SDG,HC,28,24,26,23,17,12,15,27,15,24,6,27,13,2,7,13,28,14,23,24,12,13,7,15,3,1,13,25,25,24,24
