Year,Age,Level,Employer,Role
1958,28,College,Virginia,Defensive Backs
1959,29,College,Kentucky,Defensive Backs
1960,30,NFL,Detroit Lions,Defensive Backs
1961,31,NFL,Detroit Lions,Defensive Coordinator
1962,32,NFL,Detroit Lions,Defensive Coordinator
1963,33,NFL,Baltimore Colts,Head Coach
1964,34,NFL,Baltimore Colts,Head Coach
1965,35,NFL,Baltimore Colts,Head Coach
1966,36,NFL,Baltimore Colts,Head Coach
1967,37,NFL,Baltimore Colts,Head Coach
1968,38,NFL,Baltimore Colts,Head Coach
1969,39,NFL,Baltimore Colts,Head Coach
1970,40,NFL,Miami Dolphins,Head Coach
1971,41,NFL,Miami Dolphins,Head Coach
1972,42,NFL,Miami Dolphins,Head Coach
1973,43,NFL,Miami Dolphins,Head Coach
1974,44,NFL,Miami Dolphins,Head Coach
1975,45,NFL,Miami Dolphins,Head Coach
1976,46,NFL,Miami Dolphins,Head Coach
1977,47,NFL,Miami Dolphins,Head Coach
1978,48,NFL,Miami Dolphins,Head Coach
1979,49,NFL,Miami Dolphins,Head Coach
1980,50,NFL,Miami Dolphins,Head Coach
1981,51,NFL,Miami Dolphins,Head Coach
1982,52,NFL,Miami Dolphins,Head Coach
1983,53,NFL,Miami Dolphins,Head Coach
1984,54,NFL,Miami Dolphins,Head Coach
1985,55,NFL,Miami Dolphins,Head Coach
1986,56,NFL,Miami Dolphins,Head Coach
1987,57,NFL,Miami Dolphins,Head Coach
1988,58,NFL,Miami Dolphins,Head Coach
1989,59,NFL,Miami Dolphins,Head Coach
1990,60,NFL,Miami Dolphins,Head Coach
1991,61,NFL,Miami Dolphins,Head Coach
1992,62,NFL,Miami Dolphins,Head Coach
1993,63,NFL,Miami Dolphins,Head Coach
1994,64,NFL,Miami Dolphins,Head Coach
1995,65,NFL,Miami Dolphins,Head Coach
