Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1970,SFO,OC,26,3,1,6,7,2,1,3,5,17,9,21,15,17,1,2,1,1,13,14,4,12,18,17,22,1,18,9,18,10,7
1971,HOU,HC,26,21,24,19,17,22,16,26,25,26,18,26,10,4,6,19,26,16,9,22,13,20,11,25,6,15,13,10,5,9,8
1977,DET,OC,28,17,10,20,22,26,23,8,22,25,16,22,8,6,24,25,6,27,8,18,13,13,14,16,10,11,3,7,12,17,20
1978,NOR,OC,28,18,2,16,9,8,16,2,27,26,10,22,7,3,5,10,1,5,15,16,14,15,21,1,23,7,9,13,23,19,14
1979,NOR,OC,28,16,8,14,14,4,6,9,15,6,1,4,6,19,11,20,12,1,22,22,8,10,23,20,28,14,23,20,24,5,13
1982,CHI,OC,28,21,13,22,25,26,22,8,15,18,21,19,5,22,23,16,9,23,16,13,20,11,5,1,7,22,21,21,21,10,17
1983,CHI,OC,28,13,12,12,5,6,20,8,5,1,20,2,7,23,17,16,11,10,8,5,15,9,11,22,15,13,10,12,1,19,10
1984,CHI,OC,28,7,10,9,1,7,16,6,1,1,1,4,14,27,26,24,4,13,1,3,16,1,1,2,5,17,2,2,1,10,3
1985,CHI,OC,28,1,1,1,1,7,2,4,1,1,1,5,9,26,20,22,6,4,1,1,1,1,1,1,6,5,18,3,3,1,2
1986,CHI,OC,28,1,14,1,1,7,13,26,1,1,3,3,26,27,20,28,22,9,1,1,3,3,2,1,2,14,15,2,1,2,1
1987,CHI,OC,28,3,27,6,4,12,9,27,13,13,12,12,23,14,12,11,25,17,2,4,28,3,1,1,1,24,24,7,17,25,1
1988,CHI,OC,28,1,12,4,3,11,18,15,4,3,3,9,25,22,20,23,5,8,2,1,12,1,1,1,2,26,25,9,10,3,2
