,Year,Age,Level,Employer,Role
0,1896,23,College,Nebraska,Head Coach
1,1897,24,College,Nebraska,Head Coach
2,1898,25,College,Brown,Head Coach
3,1899,26,College,Brown,Head Coach
4,1900,27,College,Brown,Head Coach
5,1901,28,College,Brown,Head Coach
6,1902,29,College,Maine,Head Coach
7,1904,31,College,Brown,Head Coach
8,1905,32,College,Brown,Head Coach
9,1906,33,College,Brown,Head Coach
10,1907,34,College,Brown,Head Coach
11,1910,37,College,Brown,Head Coach
12,1911,38,College,Brown,Head Coach
13,1912,39,College,Brown,Head Coach
14,1913,40,College,Brown,Head Coach
15,1914,41,College,Brown,Head Coach
16,1915,42,College,Brown,Head Coach
17,1916,43,College,Brown,Head Coach
18,1917,44,College,Brown,Head Coach
19,1918,45,College,Brown,Head Coach
20,1919,46,College,Brown,Head Coach
21,1920,47,College,Brown,Head Coach
22,1921,48,College,Brown,Head Coach
23,1922,49,College,Brown,Head Coach
24,1923,50,College,Brown,Head Coach
25,1924,51,College,Brown,Head Coach
26,1925,52,College,Brown,Head Coach
27,1931,58,NFL,Providence Steam Roller,Head Coach
