,Year,Age,Level,Employer,Role
0,1991,24,College,Arizona,Graduate Assistant
1,1992,25,College,North Carolina,Video Assistant
2,1993,26,College,North Carolina,Video Assistant
3,1994,27,College,Wingate,Defensive Backs
4,1995,28,College,Kent State,Defensive Backs
5,1996,29,College,Kent State,Defensive Backs
6,1997,30,NFL,Chicago Bears,Offensive Quality Control
7,1998,31,NFL,Chicago Bears,Offensive Quality Control
8,1999,32,NFL,Chicago Bears,Offensive Quality Control
9,2000,33,NFL,Chicago Bears,Offensive Quality Control
10,2001,34,NFL,New York Giants,Running Backs
11,2002,35,NFL,New York Giants,Running Backs
12,2003,36,NFL,New York Giants,Running Backs
13,2004,37,NFL,Buffalo Bills,Running Backs
14,2005,38,NFL,Buffalo Bills,Running Backs
15,2006,39,NFL,Buffalo Bills,Running Backs
16,2007,40,NFL,Buffalo Bills,Running Backs
17,2008,41,NFL,Buffalo Bills,Running Backs
18,2009,42,NFL,Buffalo Bills,Running Backs
19,2010,43,NFL,Denver Broncos,Interim Head Coach
20,2010,43,NFL,Denver Broncos,Running Backs
21,2011,44,NFL,Denver Broncos,Running Backs
22,2012,45,NFL,Denver Broncos,Running Backs
23,2013,46,NFL,Denver Broncos,Running Backs
24,2014,47,NFL,Denver Broncos,Running Backs
25,2015,48,NFL,Denver Broncos,Running Backs
26,2016,49,NFL,Denver Broncos,Running Backs
27,2017,50,NFL,Denver Broncos,Asst Head Coach/RB
28,2018,51,NFL,Miami Dolphins,Running Backs/RGC
29,2019,52,NFL,Miami Dolphins,Running Backs
30,2020,53,NFL,Miami Dolphins,Running Backs
31,2021,54,NFL,Miami Dolphins,Offensive Coordinator
32,2022,55,NFL,Miami Dolphins,Associate Head Coach/Running Backs
33,2023,56,NFL,Miami Dolphins,Associate Head Coach/Running Backs
