,Year,Age,Level,Employer,Role
0,1951,36,College,Pittsburgh,Assistant Coach
1,1952,37,College,Pittsburgh,Assistant Coach
2,1953,38,College,Pittsburgh,Assistant Coach
3,1954,39,College,Pittsburgh,Assistant Coach
4,1955,40,College,Pittsburgh,Assistant Coach
5,1956,41,College,Pittsburgh,Assistant Coach
6,1957,42,College,Pittsburgh,Assistant Coach
7,1958,43,College,Pittsburgh,Assistant Coach
8,1959,44,NFL,Washington Redskins,Offensive Line
9,1960,45,College,Boston Coll.,Head Coach
10,1961,46,College,Boston Coll.,Head Coach
11,1962,47,College,Pittsburgh,Offensive Line
12,1963,48,College,Pittsburgh,Offensive Line
13,1964,49,College,Pittsburgh,Offensive Line
14,1965,50,NFL,Pittsburgh Steelers,Offensive Line
15,1966,51,NFL,Miami Dolphins,Offensive Line
16,1967,52,NFL,Miami Dolphins,Offensive Line
17,1968,53,NFL,Miami Dolphins,Offensive Line
18,1969,54,NFL,Miami Dolphins,Offensive Line
19,1970,55,College,Pittsburgh,Offensive Line
20,1971,56,College,Pittsburgh,Offensive Line
21,1972,57,College,Pittsburgh,Offensive Line
22,1975,60,NFL,New Orleans Saints,Head Coach
