Year,Age,Level,Employer,Role
1927,25,NFL,Duluth Eskimos,Head Coach
1928,26,College,Stanford,Reserves Coach
1930,28,NFL,Chicago Cardinals,Head Coach
1931,29,NFL,Chicago Cardinals,Head Coach
1932,30,College,Stanford,Assistant Coach
1933,31,College,Stanford,Assistant Coach
1934,32,College,Stanford,Assistant Coach
1935,33,College,Stanford,Assistant Coach
1936,34,College,Lafayette,Head Coach
1937,35,College,Iowa,Backfield Coach
1938,36,College,Iowa,Backfield Coach
1939,37,NFL,Chicago Cardinals,Head Coach
1946,44,AAFC,Chicago Rockets,Backfield Coach
