,Year,Age,Level,Employer,Role
0,1920,30,College,Baylor,Head Coach
1,1921,31,College,Baylor,Head Coach
2,1922,32,College,Baylor,Head Coach
3,1923,33,College,Baylor,Head Coach
4,1924,34,College,Baylor,Head Coach
5,1925,35,College,Baylor,Head Coach
6,1927,37,College,Hardin-Simmons,Head Coach
7,1928,38,College,Hardin-Simmons,Head Coach
8,1929,39,College,Hardin-Simmons,Head Coach
9,1935,45,College,St. Mary's (TX),Head Coach
10,1936,46,College,St. Mary's (TX),Head Coach
11,1937,47,College,St. Mary's (TX),Head Coach
12,1938,48,College,St. Mary's (TX),Head Coach
13,1939,49,College,St. Mary's (TX),Head Coach
14,1943,53,NFL,Brooklyn Dodgers,Ends Coach
15,1944,54,NFL,Brooklyn Tigers,Head Coach
