,Year,Age,Level,Employer,Role
0,1964,24,College,Utah,Graduate Assistant
1,1965,25,College,Westminster (UT),Head Coach
2,1966,26,College,Iowa,Graduate Assistant
3,1967,27,College,Oregon,Defensive Backs
4,1968,28,College,Oregon,Defensive Backs
5,1969,29,College,Oregon,Defensive Backs
6,1970,30,College,Oregon,Defensive Backs
7,1971,31,College,Oregon,Defensive Backs
8,1972,32,College,Stanford,Defensive Backs
9,1973,33,College,Stanford,Defensive Backs
10,1974,34,College,Stanford,Defensive Backs
11,1975,35,College,Cornell,Head Coach
12,1976,36,College,Cornell,Head Coach
13,1977,37,College,Stanford,Defensive Backs
14,1978,38,College,Stanford,Defensive Backs
15,1979,39,College,Stanford,Defensive Backs
16,1980,40,NFL,San Francisco 49ers,Defensive Backs
17,1981,41,NFL,San Francisco 49ers,Defensive Backs
18,1982,42,NFL,San Francisco 49ers,Defensive Backs
19,1983,43,NFL,San Francisco 49ers,Defensive Coordinator
20,1984,44,NFL,San Francisco 49ers,Defensive Coordinator
21,1985,45,NFL,San Francisco 49ers,Defensive Coordinator
22,1986,46,NFL,San Francisco 49ers,Defensive Coordinator
23,1987,47,NFL,San Francisco 49ers,Defensive Coordinator
24,1988,48,NFL,San Francisco 49ers,Defensive Coordinator
25,1989,49,NFL,San Francisco 49ers,Head Coach
26,1990,50,NFL,San Francisco 49ers,Head Coach
27,1991,51,NFL,San Francisco 49ers,Head Coach
28,1992,52,NFL,San Francisco 49ers,Head Coach
29,1993,53,NFL,San Francisco 49ers,Head Coach
30,1994,54,NFL,San Francisco 49ers,Head Coach
31,1995,55,NFL,San Francisco 49ers,Head Coach
32,1996,56,NFL,San Francisco 49ers,Head Coach
33,1999,59,NFL,Carolina Panthers,Head Coach
34,2000,60,NFL,Carolina Panthers,Head Coach
35,2001,61,NFL,Carolina Panthers,Head Coach
