,Year,Age,Level,Employer,Role
0,1991,23,College (FBS),Arkansas,Graduate Assistant
1,1992,24,College (FBS),Arkansas,Graduate Assistant
2,1993,25,College (FBS),Arkansas,Graduate Assistant
3,1994,26,College (FBS),Georgia,Graduate Assistant
4,1995,27,College (FBS),Georgia,Graduate Assistant
5,1996,28,College (FCS),Georgia Southern,Wide Receivers
6,1997,29,College (FCS),Georgia Southern,Defensive Backs
7,1998,30,College (FCS),Georgia Southern,Defensive Backs
8,1999,31,College (FBS),Tulane,Defensive Line
9,2000,32,College (FBS),Tulane,Defensive Line/Recruiting Coordinator
10,2001,33,College (FBS),Tulane,Defensive Line/Associate HC/Recruiting Coordinator
11,2002,34,College (FBS),Tulane,Defensive Line/Associate HC/Recruiting Coordinator
12,2003,35,College (FBS),Tulane,Defensive Line/Associate HC/Recruiting Coordinator
13,2004,36,College (FBS),Georgia Tech,Defensive Line
14,2005,37,College (FBS),Georgia Tech,Defensive Line
15,2006,38,College (FBS),Georgia Tech,Defensive Line/Recruiting Coordinator
16,2007,39,College (FBS),Georgia Tech,Defensive Line/Recruiting Coordinator
17,2008,40,College (FBS),Georgia Tech,Defensive Line/Recruiting Coordinator
18,2009,41,College (FBS),Georgia Tech,Defensive Line/Recruiting Coordinator
19,2010,42,NFL,Buffalo Bills,Defensive Line
20,2011,43,NFL,Buffalo Bills,Defensive Line
21,2012,44,NFL,Buffalo Bills,Defensive Line
22,2014,46,NFL,Tennessee Titans,Defensive Line
23,2015,47,NFL,Tennessee Titans,Defensive Line
24,2016,48,NFL,San Diego Chargers,Defensive Line
25,2017,49,NFL,Los Angeles Chargers,Defensive Line
26,2018,50,NFL,Los Angeles Chargers,Defensive Line
27,2019,51,NFL,Los Angeles Chargers,Defensive Line
28,2020,52,NFL,Los Angeles Chargers,Defensive Line
29,2021,53,NFL,Los Angeles Chargers,Defensive Line
30,2022,54,NFL,Los Angeles Chargers,Outside Linebackers
31,2023,55,NFL,Los Angeles Chargers,Interim Head Coach/Outside Linebackers
32,2024,56,NFL,Los Angeles Rams,Defensive Line/RGC
33,2025,57,NFL,Los Angeles Rams,Defensive Line/Def. RGC
