Year,Age,Level,Employer,Role
1918,24,College,St. Thomas (MN),Head Coach
1919,25,College,Hamline,Head Coach
1920,26,College,Hamline,Head Coach
1921,27,College,Minnesota,Assistant Coach
1922,28,College,Minnesota,Assistant Coach
1923,29,College,Minnesota,Assistant Coach
1924,30,College,Georgia Tech,Assistant Coach
1925,31,College,Georgia Tech,Assistant Coach
1926,32,AFL I,Newark Bears,Head Coach
1927,33,Independent,Staten Island Stapletons,Head Coach
1932,38,NFL,Staten Island Stapletons,Head Coach
