,Year,Age,Level,Employer,Role
0,1959,25,College,Michigan State,Assistant Coach
1,1960,26,College,Michigan State,Assistant Coach
2,1961,27,College,Michigan State,Assistant Coach
3,1962,28,College,Michigan State,Assistant Coach
4,1963,29,College,Michigan State,Assistant Coach
5,1964,30,College,Michigan State,Assistant Coach
6,1965,31,College,Michigan State,Assistant Coach
7,1966,32,College,Michigan State,Assistant Coach
8,1967,33,College,Michigan State,Assistant Coach
9,1968,34,College,Michigan State,Assistant Coach
10,1969,35,College,Michigan State,Assistant Coach
11,1970,36,NFL,Baltimore Colts,Linebackers
12,1971,37,NFL,Baltimore Colts,Linebackers
13,1972,38,NFL,Baltimore Colts,Linebackers
14,1973,39,NFL,New England Patriots,Defensive Line
15,1974,40,NFL,New England Patriots,Defensive Line
16,1975,41,NFL,New England Patriots,Defensive Line
17,1976,42,NFL,New England Patriots,Assistant Head Coach/DL
18,1977,43,NFL,New England Patriots,Assistant Head Coach/DL
19,1978,44,NFL,New England Patriots,Defensive Coordinator
20,1979,45,NFL,New England Patriots,Defensive Coordinator
21,1980,46,NFL,Cincinnati Bengals,Defensive Coordinator
22,1980,46,NFL,Cincinnati Bengals,Defensive Coordinator/LB
23,1981,47,NFL,Cincinnati Bengals,Defensive Coordinator/LB
24,1981,47,NFL,Cincinnati Bengals,Defensive Coordinator
25,1982,48,NFL,Cincinnati Bengals,Defensive Coordinator
26,1982,48,NFL,Cincinnati Bengals,Defensive Coordinator/LB
27,1983,49,NFL,Cincinnati Bengals,Defensive Coordinator
28,1983,49,NFL,Cincinnati Bengals,Defensive Coordinator/LB
29,1984,50,USFL,Pittsburgh Maulers,Head Coach
30,1985,51,NFL,Buffalo Bills,Defensive Coordinator
31,1986,52,NFL,Buffalo Bills,Head Coach
32,1988,54,NFL,Green Bay Packers,Defensive Coordinator
33,1989,55,NFL,Green Bay Packers,Defensive Coordinator
34,1990,56,NFL,Green Bay Packers,Defensive Coordinator
35,1991,57,NFL,Green Bay Packers,Defensive Coordinator
36,1993,59,NFL,Detroit Lions,Defensive Coordinator
37,1994,60,College,Michigan State,Assistant Coach
