Year,Age,Level,Employer,Role
1962,25,College,Missouri,Graduate Assistant
1963,26,College,Missouri,Assistant
1964,27,College,Missouri,Assistant
1965,28,College,Missouri,Assistant
1966,29,College,Missouri,Assistant
1967,30,College,Missouri,Assistant
1968,31,College,Missouri,Assistant
1969,32,College,Missouri,Assistant
1970,33,College,Missouri,Assistant
1971,34,NFL,Green Bay Packers,Assistant
1972,35,NFL,Green Bay Packers,Special Teams
1973,36,NFL,Green Bay Packers,Special Teams
1974,37,NFL,Green Bay Packers,Special Teams
1975,38,College,Notre Dame,Assistant
1976,39,College,Notre Dame,Assistant
1977,40,College,Notre Dame,Assistant
1978,41,College,Notre Dame,Assistant
1979,42,NFL,Chicago Bears,Running Backs/Special Teams
1980,43,NFL,Chicago Bears,Running Backs/Special Teams
1981,44,NFL,Chicago Bears,Running Backs/Special Teams
1982,45,NFL,Chicago Bears,Running Backs/Special Teams
1983,46,USFL,Birmingham Stallions,Asst. HC/Offensive Coordinator
1984,47,USFL,Birmingham Stallions,Asst. HC/Offensive Coordinator
1985,48,USFL,Birmingham Stallions,Asst. HC/Offensive Coordinator
1986,49,NFL,St. Louis Cardinals,Running Backs
1987,50,NFL,St. Louis Cardinals,Running Backs
1988,51,NFL,Phoenix Cardinals,Running Backs
1989,52,NFL,Phoenix Cardinals,Head Coach
1991,54,NFL,Tampa Bay Buccaneers,Offensive Coordinator
1994,57,NFL,Indianapolis Colts,Special Teams
1995,58,NFL,Indianapolis Colts,Special Teams
1996,59,NFL,Indianapolis Colts,Special Teams
1997,60,NFL,Indianapolis Colts,Special Teams
1998,61,NFL,Arizona Cardinals,Tight Ends
1999,62,NFL,Arizona Cardinals,Tight Ends
2000,63,NFL,Arizona Cardinals,Special Teams
2001,64,NFL,Arizona Cardinals,Special Teams
2002,65,NFL,Arizona Cardinals,Special Teams
2003,66,NFL,Arizona Cardinals,Special Teams
