Year,Age,Level,Employer,Role
1948,24,College,Purdue,Assistant
1949,25,College,Purdue,Assistant
1950,26,College,Purdue,Assistant
1951,27,College,Purdue,Assistant
1952,28,College,Purdue,Assistant
1953,29,College,Purdue,Assistant
1954,30,College,Purdue,Assistant
1955,31,College,Purdue,Assistant
1956,32,College,Southern Methodist,Assistant
1957,33,College,Notre Dame,Assistant
1958,34,College,Notre Dame,Assistant
1959,35,College,Miami (FL),Assistant
1960,36,AFL,Dallas Texans,Head Coach
1961,37,AFL,Dallas Texans,Head Coach
1962,38,AFL,Dallas Texans,Head Coach
1963,39,AFL,Kansas City Chiefs,Head Coach
1964,40,AFL,Kansas City Chiefs,Head Coach
1965,41,AFL,Kansas City Chiefs,Head Coach
1966,42,AFL,Kansas City Chiefs,Head Coach
1967,43,AFL,Kansas City Chiefs,Head Coach
1968,44,AFL,Kansas City Chiefs,Head Coach
1969,45,AFL,Kansas City Chiefs,Head Coach
1970,46,NFL,Kansas City Chiefs,Head Coach
1971,47,NFL,Kansas City Chiefs,Head Coach
1972,48,NFL,Kansas City Chiefs,Head Coach
1973,49,NFL,Kansas City Chiefs,Head Coach
1974,50,NFL,Kansas City Chiefs,Head Coach
1976,52,NFL,New Orleans Saints,Head Coach
1977,53,NFL,New Orleans Saints,Head Coach
