Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1960,NYG,DC,13,4,11,7,3,7,6,12,6,9,6,10,13,8,4,4,8,5,3,8,7,7,2,2,1,8,5,6,8,5,6
1961,NYG,DC,14,2,2,2,4,5,2,11,4,9,9,11,10,5,4,2,6,7,4,1,1,8,9,1,9,2,9,2,8,1,2
1962,RAM,HC,14,14,7,13,14,14,14,4,12,10,11,3,6,9,12,12,4,14,10,8,10,13,12,6,11,6,8,8,10,12,8
1963,RAM,HC,14,10,12,13,13,13,13,9,11,13,7,14,8,7,13,14,10,14,8,9,9,8,8,8,10,9,8,8,9,9,9
1964,RAM,HC,14,9,10,10,11,12,8,8,11,9,10,7,10,9,10,9,7,11,6,12,9,4,1,7,3,12,14,11,12,8,7
1965,RAM,HC,14,13,13,12,7,8,11,11,13,12,12,7,12,3,6,6,8,11,4,9,14,7,1,9,1,7,3,8,7,14,14
1967,NYG,DC,16,7,7,9,5,3,3,3,10,6,3,2,2,9,4,1,7,2,11,13,12,6,11,15,14,4,6,8,11,13,10
1968,NYG,DC,16,8,3,9,8,5,7,2,5,7,8,7,5,10,7,7,4,6,10,10,6,6,12,16,15,7,8,9,7,3,10
1969,WAS,DC,16,7,8,9,9,8,7,3,16,13,9,5,1,4,5,6,4,11,12,10,13,16,16,16,15,13,5,6,2,11,7
1970,WAS,DC,26,15,9,17,17,9,11,2,14,5,12,2,10,20,17,4,1,10,24,21,20,19,25,25,24,19,13,15,6,22,16
1971,SDG,HC,26,14,20,15,11,2,7,19,23,19,15,12,11,2,1,1,23,3,24,23,19,22,24,26,25,24,10,16,11,11,20
1972,SDG,HC,26,19,25,20,10,10,18,26,8,15,17,17,24,9,10,14,25,11,10,20,11,6,5,22,6,23,16,17,16,5,15
1973,SDG,HC,26,24,25,25,21,19,25,25,22,18,20,10,22,10,18,22,25,20,22,24,10,23,21,26,13,6,16,21,21,16,21
