,Year,Age,Level,Employer,Role
0,1987,33,College,San Jose State,Offensive Assistant
1,1988,34,College,San Jose State,Offensive Assistant
2,1989,35,College,San Jose State,Offensive Assistant
3,1990,36,NFL,Kansas City Chiefs,Scout
4,1991,37,NFL,Kansas City Chiefs,Scout
5,1992,38,NFL,Kansas City Chiefs,Defensive Backs
6,1993,39,NFL,Kansas City Chiefs,Defensive Backs
7,1994,40,NFL,Kansas City Chiefs,Defensive Backs
8,1995,41,NFL,Kansas City Chiefs,Defensive Backs
9,1996,42,NFL,Tampa Bay Buccaneers,Assistant Head Coach/Defensive Backs
10,1997,43,NFL,Tampa Bay Buccaneers,Assistant Head Coach/Defensive Backs
11,1998,44,NFL,Tampa Bay Buccaneers,Assistant Head Coach/Defensive Backs
12,1999,45,NFL,Tampa Bay Buccaneers,Assistant Head Coach/Defensive Backs
13,2000,46,NFL,Tampa Bay Buccaneers,Assistant Head Coach/Defensive Backs
14,2001,47,NFL,New York Jets,Head Coach
15,2002,48,NFL,New York Jets,Head Coach
16,2003,49,NFL,New York Jets,Head Coach
17,2004,50,NFL,New York Jets,Head Coach
18,2005,51,NFL,New York Jets,Head Coach
19,2006,52,NFL,Kansas City Chiefs,Head Coach
20,2007,53,NFL,Kansas City Chiefs,Head Coach
21,2008,54,NFL,Kansas City Chiefs,Head Coach
22,2018,64,College,Arizona State,Head Coach
23,2019,65,College,Arizona State,Head Coach
24,2020,66,College,Arizona State,Head Coach
25,2021,67,College,Arizona State,Head Coach
26,2022,68,College,Arizona State,Head Coach
