Year,Age,Level,Employer,Role
1959,25,College,Kentucky,Assistant Coach
1960,26,College,Kentucky,Assistant Coach
1961,27,College,Alabama,Offensive Coordinator
1962,28,College,Alabama,Offensive Coordinator
1963,29,College,Alabama,Offensive Coordinator
1964,30,College,Alabama,Offensive Coordinator
1965,31,College,Alabama,Offensive Coordinator
1966,32,NFL,Los Angeles Rams,Receivers
1967,33,NFL,Los Angeles Rams,Receivers
1968,34,NFL,Los Angeles Rams,Receivers
1969,35,NFL,Los Angeles Rams,Receivers
1970,36,NFL,Miami Dolphins,Offensive Coordinator
1971,37,NFL,Miami Dolphins,Offensive Coordinator
1972,38,NFL,Miami Dolphins,Offensive Coordinator
1973,39,NFL,Baltimore Colts,Head Coach
1974,40,NFL,Baltimore Colts,Head Coach
1975,41,NFL,Miami Dolphins,Offensive Coordinator
1976,42,NFL,Miami Dolphins,Offensive Coordinator
1977,43,NFL,Miami Dolphins,Offensive Coordinator
1978,44,NFL,Miami Dolphins,Offensive Coordinator
1979,45,College,Miami (FL),Head Coach
1980,46,College,Miami (FL),Head Coach
1981,47,College,Miami (FL),Head Coach
1982,48,College,Miami (FL),Head Coach
1983,49,College,Miami (FL),Head Coach
1985,51,College,Louisville,Head Coach
1986,52,College,Louisville,Head Coach
1987,53,College,Louisville,Head Coach
1988,54,College,Louisville,Head Coach
1989,55,College,Louisville,Head Coach
1990,56,College,Louisville,Head Coach
1991,57,College,Louisville,Head Coach
1992,58,College,Louisville,Head Coach
1993,59,College,Louisville,Head Coach
1994,60,College,Louisville,Head Coach
1995,61,College,Oklahoma,Head Coach
2001,67,College,Florida Atlantic,Head Coach
2002,68,College,Florida Atlantic,Head Coach
2003,69,College,Florida Atlantic,Head Coach
2004,70,College,Florida Atlantic,Head Coach
2005,71,College,Florida Atlantic,Head Coach
2006,72,College,Florida Atlantic,Head Coach
2007,73,College,Florida Atlantic,Head Coach
2008,74,College,Florida Atlantic,Head Coach
2009,75,College,Florida Atlantic,Head Coach
2010,76,College,Florida Atlantic,Head Coach
2011,77,College,Florida Atlantic,Head Coach
