Year,Age,Level,Employer,Role
1970,29,College,Whitworth Coll.,Head Coach
1971,30,College,Whitworth Coll.,Head Coach
1972,31,College,Whitworth Coll.,Head Coach
1973,32,College,Whitworth Coll.,Head Coach
1974,33,College,Whitworth Coll.,Head Coach
1975,34,College,Whitworth Coll.,Head Coach
1976,35,College,Whitworth Coll.,Head Coach
1977,36,CFL,Edmonton Eskimos,Head Coach
1978,37,CFL,Edmonton Eskimos,Head Coach
1979,38,CFL,Edmonton Eskimos,Head Coach
1980,39,CFL,Edmonton Eskimos,Head Coach
1981,40,CFL,Edmonton Eskimos,Head Coach
1982,41,CFL,Edmonton Eskimos,Head Coach
1983,42,USFL,Los Angeles Express,Head Coach
1984,43,NFL,Houston Oilers,Head Coach
1985,44,NFL,Houston Oilers,Head Coach
