Year,Age,Level,Employer,Role
1974,38,WFL,Florida Blazers,Head Coach
1975,39,NFL,Chicago Bears,Head Coach
1976,40,NFL,Chicago Bears,Head Coach
1977,41,NFL,Chicago Bears,Head Coach
1978,42,NFL,Washington Redskins,Head Coach
1979,43,NFL,Washington Redskins,Head Coach
1980,44,NFL,Washington Redskins,Head Coach
1981,45,NFL,San Diego Chargers,Defensive Coordinator
1984,48,USFL,Houston Gamblers,Head Coach
1985,49,USFL,Houston Gamblers,Head Coach
1987,51,College,Houston,Head Coach
1988,52,College,Houston,Head Coach
1989,53,College,Houston,Head Coach
1990,54,NFL,Houston Oilers,Head Coach
1991,55,NFL,Houston Oilers,Head Coach
1992,56,NFL,Houston Oilers,Head Coach
1993,57,NFL,Houston Oilers,Head Coach
1994,58,NFL,Houston Oilers,Head Coach
1995,59,CFL,Birmingham Barracudas,Head Coach
