Year,Age,Level,Employer,Role
2010,33,NFL,Seattle Seahawks,Asst. Special Teams
2011,34,NFL,Seattle Seahawks,Asst. Special Teams
2012,35,College (FBS),UCLA,Linebackers/Special Teams
2013,36,College (FBS),UCLA,Linebackers/Special Teams
2014,37,College (FBS),UCLA,Linebackers/Special Teams
2015,38,NFL,Atlanta Falcons,Linebackers
2016,39,NFL,Atlanta Falcons,Linebackers
2017,40,NFL,Atlanta Falcons,Linebackers
2018,41,NFL,Atlanta Falcons,Linebackers
2019,42,NFL,Atlanta Falcons,Linebackers
2020,43,NFL,Atlanta Falcons,Asst. HC/LB/Interim DC
2021,44,NFL,New York Jets,Defensive Coordinator
2022,45,NFL,New York Jets,Defensive Coordinator
2023,46,NFL,New York Jets,Defensive Coordinator
2024,47,NFL,New York Jets,Defensive Coordinator/Interim Head Coach
2025,48,NFL,Atlanta Falcons,Defensive Coordinator
