,Year,Age,Level,Employer,Role
0,1951,24,College,Hawaii,Assistant
1,1952,25,College,Whittier,Assistant
2,1953,26,High School,St. Mary's of Redford (MI),Head Coach
3,1954,27,College,Iowa,Assistant
4,1955,28,College,Iowa,Backs Coach
5,1956,29,College,Iowa,Backs Coach
6,1957,30,College,Iowa,Defensive Coordinator
7,1958,31,College,Iowa,Defensive Coordinator
8,1959,32,College,Iowa,Defensive Coordinator
9,1960,33,College,Iowa,Defensive Coordinator
10,1961,34,College,Iowa,Head Coach
11,1962,35,College,Iowa,Head Coach
12,1963,36,College,Iowa,Head Coach
13,1964,37,College,Iowa,Head Coach
14,1965,38,College,Iowa,Head Coach
15,1966,39,NFL,Green Bay Packers,Defensive Backs
16,1967,40,NFL,Green Bay Packers,Defensive Backs
17,1968,41,NFL,Minnesota Vikings,Offensive Coordinator
18,1969,42,NFL,Minnesota Vikings,Offensive Coordinator
19,1970,43,NFL,Minnesota Vikings,Offensive Coordinator
20,1971,44,NFL,Minnesota Vikings,Offensive Coordinator
21,1972,45,NFL,Minnesota Vikings,Offensive Coordinator
22,1973,46,NFL,Minnesota Vikings,Offensive Coordinator
23,1974,47,NFL,Minnesota Vikings,Offensive Coordinator
24,1975,48,NFL,Minnesota Vikings,Offensive Coordinator
25,1976,49,NFL,Minnesota Vikings,Offensive Coordinator
26,1977,50,NFL,Minnesota Vikings,Offensive Coordinator
27,1978,51,NFL,Minnesota Vikings,Offensive Coordinator
28,1979,52,NFL,Minnesota Vikings,Offensive Coordinator
29,1980,53,NFL,Minnesota Vikings,Offensive Coordinator
30,1981,54,NFL,Minnesota Vikings,Offensive Coordinator
31,1982,55,NFL,Minnesota Vikings,Offensive Coordinator
32,1983,56,NFL,Minnesota Vikings,Offensive Coordinator
33,1984,57,NFL,Minnesota Vikings,Offensive Coordinator
34,1985,58,NFL,Minnesota Vikings,Offensive Coordinator
35,1986,59,NFL,Minnesota Vikings,Head Coach
36,1987,60,NFL,Minnesota Vikings,Head Coach
37,1988,61,NFL,Minnesota Vikings,Head Coach
38,1989,62,NFL,Minnesota Vikings,Head Coach
39,1990,63,NFL,Minnesota Vikings,Head Coach
40,1991,64,NFL,Minnesota Vikings,Head Coach
