Year,Age,Level,Employer,Role
1947,33,College,Wagner,Head Coach
1948,34,College,Wagner,Head Coach
1949,35,College,Wagner,Head Coach
1950,36,College,Wagner,Head Coach
1951,37,College,Wagner,Head Coach
1952,38,College,Wagner,Head Coach
1953,39,College,Wagner,Head Coach
1954,40,NFL,New York Giants,Head Coach
1955,41,NFL,New York Giants,Head Coach
1956,42,NFL,New York Giants,Head Coach
1957,43,NFL,New York Giants,Head Coach
1958,44,NFL,New York Giants,Head Coach
1959,45,NFL,New York Giants,Head Coach
1960,46,NFL,New York Giants,Head Coach
