Year,Age,Level,Employer,Role
1966,31,College,Texas Christian,Assistant
1967,32,NFL,San Francisco 49ers,Defensive Backs
1968,33,NFL,San Francisco 49ers,Defensive Backs
1969,34,NFL,San Francisco 49ers,Defensive Backs
1970,35,NFL,San Francisco 49ers,Quarterbacks/WR
1971,36,NFL,San Francisco 49ers,Quarterbacks/WR
1972,37,NFL,San Francisco 49ers,Quarterbacks/WR
1973,38,NFL,San Francisco 49ers,Quarterbacks/WR
1974,39,College,Texas Christian,Head Coach
1975,40,College,Texas Christian,Head Coach
1976,41,College,Texas Christian,Head Coach
1977,42,NFL,San Francisco 49ers,Defensive Backs
1978,43,NFL,Cleveland Browns,Quarterbacks
1979,44,NFL,Cleveland Browns,Quarterbacks
1980,45,NFL,Cleveland Browns,Quarterbacks
1981,46,NFL,Houston Oilers,Offensive Coordinator
1982,47,NFL,Houston Oilers,Offensive Coordinator
1983,48,NFL,Dallas Cowboys,Quarterbacks
1984,49,NFL,Dallas Cowboys,Quarterbacks
1985,50,NFL,Dallas Cowboys,Quarterbacks
1986,51,NFL,St. Louis Cardinals,Offensive Coordinator
1987,52,NFL,St. Louis Cardinals,Offensive Coordinator
1988,53,NFL,Phoenix Cardinals,Offensive Coordinator
1989,54,NFL,Phoenix Cardinals,Offensive Coordinator
1990,55,NFL,Cleveland Browns,Offensive Coordinator/Interim HC
1992,57,NFL,Buffalo Bills,Quarterbacks
1993,58,NFL,Buffalo Bills,Quarterbacks
1994,59,NFL,Buffalo Bills,Quarterbacks
1995,60,NFL,Buffalo Bills,Quarterbacks
1996,61,NFL,Buffalo Bills,Quarterbacks
