,Year,Age,Level,Employer,Role
0,1947,29,College,Wichita State,Assistant Coach
1,1948,30,College,Wichita State,Head Coach
2,1949,31,College,Wichita State,Head Coach
3,1950,32,College,Wichita State,Head Coach
4,1951,33,NFL,Philadelphia Eagles,Line Coach
5,1952,34,NFL,Philadelphia Eagles,Head Coach
6,1953,35,NFL,Philadelphia Eagles,Head Coach
7,1954,36,NFL,Philadelphia Eagles,Head Coach
8,1955,37,NFL,Philadelphia Eagles,Head Coach
9,1957,39,CFL,Hamilton Tiger Cats,Head Coach
10,1958,40,CFL,Hamilton Tiger Cats,Head Coach
11,1959,41,CFL,Hamilton Tiger Cats,Head Coach
12,1960,42,CFL,Hamilton Tiger Cats,Head Coach
13,1961,43,CFL,Hamilton Tiger Cats,Head Coach
14,1962,44,CFL,Hamilton Tiger Cats,Head Coach
15,1963,45,CFL,Montreal Alouettes,Head Coach
16,1964,46,CFL,Montreal Alouettes,Head Coach
17,1965,47,CFL,Montreal Alouettes,Head Coach
18,1967,49,NFL,New York Giants,Offensive Line
19,1968,50,NFL,New York Giants,Offensive Line
