Year,Age,Level,Employer,Role
1925,24,College,Syracuse,Line Coach
1926,25,College,Syracuse,Line Coach
1927,26,College,Syracuse,Line Coach
1928,27,College,Syracuse,Line Coach
1929,28,College,Duquesne,Line Coach
1930,29,College,Duquesne,Line Coach
1931,30,College,Duquesne,Line Coach
1932,31,College,Duquesne,Line Coach
1933,32,College,Duquesne,Line Coach
1934,33,College,Duquesne,Head Coach
1935,34,NFL,Pittsburgh Pirates,Head Coach
1936,35,NFL,Pittsburgh Pirates,Head Coach
1937,36,College,Niagara,Head Coach
1938,37,College,Niagara,Head Coach
1939,38,College,Niagara,Head Coach
1940,39,College,Niagara,Head Coach
1941,40,College,Niagara,Head Coach
1942,41,U.S. Army,Fort Knox,Head Coach
1943,42,NFL,Detroit Lions,Line Coach
1944,43,NFL,Detroit Lions,Line Coach
1945,44,NFL,Detroit Lions,Line Coach
1946,45,NFL,Detroit Lions,Line Coach
1947,46,NFL,Detroit Lions,Line Coach
1948,47,NFL,Boston Yanks,Line Coach
1949,48,NFL,New York Bulldogs,Line Coach
1950,49,College,St. Bonaventure,Head Coach
1951,50,College,St. Bonaventure,Head Coach
1952,51,NFL,Pittsburgh Steelers,Head Coach
1953,52,NFL,Pittsburgh Steelers,Head Coach
