Year,Age,Level,Employer,Role
1964,24,College,San Diego State,Offensive Line
1965,25,College,San Diego State,Offensive Line
1966,26,College,San Diego State,Offensive Line
1967,27,College,Florida State,Offensive Line
1968,28,College,Florida State,Offensive Line
1969,29,College,Southern California,Offensive Line
1970,30,College,Southern California,Offensive Line
1971,31,College,Arkansas,Running Backs
1972,32,College,Arkansas,Running Backs
1973,33,NFL,St. Louis Cardinals,Offensive Backfield
1974,34,NFL,St. Louis Cardinals,Offensive Backfield
1975,35,NFL,St. Louis Cardinals,Offensive Backfield
1976,36,NFL,St. Louis Cardinals,Offensive Backfield
1977,37,NFL,St. Louis Cardinals,Offensive Backfield
1978,38,NFL,Tampa Bay Buccaneers,Offensive Coordinator
1979,39,NFL,San Diego Chargers,Offensive Coordinator
1980,40,NFL,San Diego Chargers,Offensive Coordinator
1981,41,NFL,Washington Redskins,Head Coach
1982,42,NFL,Washington Redskins,Head Coach
1983,43,NFL,Washington Redskins,Head Coach
1984,44,NFL,Washington Redskins,Head Coach
1985,45,NFL,Washington Redskins,Head Coach
1986,46,NFL,Washington Redskins,Head Coach
1987,47,NFL,Washington Redskins,Head Coach
1988,48,NFL,Washington Redskins,Head Coach
1989,49,NFL,Washington Redskins,Head Coach
1990,50,NFL,Washington Redskins,Head Coach
1991,51,NFL,Washington Redskins,Head Coach
1992,52,NFL,Washington Redskins,Head Coach
2004,64,NFL,Washington Redskins,Head Coach
2005,65,NFL,Washington Redskins,Head Coach
2006,66,NFL,Washington Redskins,Head Coach
2007,67,NFL,Washington Redskins,Head Coach
