Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1952,CRD,HC,12,10,7,10,8,11,12,8,1,5,10,9,9,10,12,12,3,11,6,3,6,10,7,1,5,5,2,6,4,6,8
1954,WAS,HC,12,10,12,12,12,11,10,12,4,4,8,7,11,12,12,5,11,9,12,12,9,6,10,11,12,6,11,12,12,12,11
1955,WAS,HC,12,3,7,5,5,11,7,7,3,3,3,5,10,11,11,10,5,10,3,2,4,2,2,1,1,1,8,6,9,7,3
1956,WAS,HC,12,5,8,8,9,11,10,9,4,9,12,10,10,10,11,9,3,9,4,6,5,4,4,8,2,3,3,5,3,5,8
1957,WAS,HC,12,8,8,5,8,7,6,2,2,3,2,8,9,11,11,9,2,3,7,5,10,2,6,4,7,9,6,9,10,9,10
1958,WAS,HC,12,8,4,8,10,8,11,4,1,3,9,6,5,11,10,11,5,8,10,6,6,5,7,5,8,1,2,12,8,7,12
1964,PHI,HC,14,7,11,8,4,4,6,9,8,6,3,3,12,7,7,8,5,6,9,8,12,11,7,8,6,13,10,9,6,8,8
1965,PHI,HC,14,11,8,7,3,2,5,7,12,4,2,2,3,4,2,6,12,3,10,11,6,8,7,3,6,12,8,11,12,4,12
1966,PHI,HC,15,3,9,10,12,11,5,10,2,5,2,5,10,13,14,10,7,14,11,11,8,3,8,8,14,7,14,12,12,9,9
1967,PHI,HC,16,9,10,12,14,8,4,12,16,14,12,10,13,5,3,3,9,7,14,15,8,10,8,11,9,5,15,14,15,10,12
1968,PHI,HC,16,15,16,14,14,15,15,16,14,14,16,13,5,8,13,12,15,11,13,13,16,15,14,14,10,16,2,10,10,15,13
