,Year,Age,Level,Employer,Role
0,1984,23,College (FBS),Tulane,Graduate Assistant
1,1985,24,College (FBS),Tulane,Graduate Assistant
2,1986,25,College (NCAA D-III),WPI,Offensive Line
3,1987,26,College (NCAA D-III),WPI,Offensive Line
4,1988,27,College (NCAA D-III),Merchant Marine Acad,Offensive Line
5,1989,28,College (NCAA D-III),Merchant Marine Acad,Offensive Line
6,1990,29,College (NCAA D-III),Allegheny,Offensive Coordinator/Offensive Line
7,1991,30,College (NCAA D-III),Allegheny,Offensive Coordinator/Offensive Line
8,1992,31,College (NCAA D-III),Allegheny,Offensive Coordinator/Offensive Line
9,1993,32,College (NCAA D-III),Allegheny,Offensive Coordinator/Offensive Line
10,1994,33,College (FBS),Ohio,Offensive Line
11,1995,34,College (FCS),Northeastern,Offensive Coordinator/Offensive Line
12,1996,35,College (FCS),Northeastern,Offensive Coordinator/Offensive Line
13,1997,36,College (FCS),Harvard,Offensive Coordinator/Offensive Line
14,1998,37,College (FCS),Harvard,Offensive Coordinator/Offensive Line
15,1999,38,College (FBS),Iowa,Offensive Line
16,2000,39,College (FBS),Iowa,Offensive Line
17,2001,40,College (FBS),Iowa,Offensive Line
18,2002,41,College (FBS),Iowa,Offensive Line
19,2003,42,NFL,Green Bay Packers,Asst. Offensive Line
20,2004,43,NFL,Green Bay Packers,Tight Ends/Asst. Offensive Line
21,2005,44,NFL,Green Bay Packers,Tight Ends/Asst. Offensive Line
22,2006,45,NFL,Green Bay Packers,Offensive Line
23,2007,46,NFL,Green Bay Packers,Offensive Coordinator
24,2008,47,NFL,Green Bay Packers,Offensive Coordinator
25,2009,48,NFL,Green Bay Packers,Offensive Coordinator
26,2010,49,NFL,Green Bay Packers,Offensive Coordinator
27,2011,50,NFL,Green Bay Packers,Offensive Coordinator
28,2012,51,NFL,Miami Dolphins,Head Coach
29,2013,52,NFL,Miami Dolphins,Head Coach
30,2014,53,NFL,Miami Dolphins,Head Coach
31,2015,54,NFL,Miami Dolphins,Head Coach
32,2016,55,NFL,Indianapolis Colts,Asst. Head Coach/Offensive Line
33,2017,56,NFL,Indianapolis Colts,Asst. Head Coach/Offensive Line
34,2018,57,NFL,Green Bay Packers,Offensive Coordinator
35,2020,59,NFL,Dallas Cowboys,Offensive Line
36,2021,60,NFL,Dallas Cowboys,Offensive Line
37,2022,61,NFL,Dallas Cowboys,Offensive Line
