Year,Age,Level,Employer,Role
1979,25,NFL,Baltimore Colts,Strength/Quality Control
1980,26,NFL,Baltimore Colts,Strength/Quality Control
1981,27,NFL,Baltimore Colts,Strength/Quality Control
1982,28,NFL,Seattle Seahawks,Defensive Quality Control
1983,29,NFL,Seattle Seahawks,Quality Control/Asst. LB
1984,30,NFL,Seattle Seahawks,Quality Control/Asst. LB
1985,31,NFL,Seattle Seahawks,Quality Control/Asst. LB
1986,32,NFL,Seattle Seahawks,Quality Control/Asst. LB
1987,33,NFL,Seattle Seahawks,Quality Control/Asst. LB
1988,34,NFL,Seattle Seahawks,Safeties
1989,35,NFL,Seattle Seahawks,Safeties
1990,36,NFL,Seattle Seahawks,Safeties
1991,37,NFL,Seattle Seahawks,Safeties
1992,38,NFL,Los Angeles Rams,Asst. Head Coach/DB
1993,39,NFL,Los Angeles Rams,Asst. Head Coach/DB
1994,40,NFL,Los Angeles Rams,Asst. Head Coach/DB
1995,41,NFL,Philadelphia Eagles,Linebackers
1996,42,NFL,Philadelphia Eagles,Linebackers
1997,43,NFL,Philadelphia Eagles,Linebackers
1998,44,NFL,Philadelphia Eagles,Linebackers
1999,45,NFL,Green Bay Packers,Defensive Backs
2000,46,NFL,Kansas City Chiefs,Linebackers
2001,47,NFL,Kansas City Chiefs,Linebackers
2002,48,NFL,Kansas City Chiefs,Linebackers
2003,49,NFL,Kansas City Chiefs,Linebackers
2004,50,NFL,St. Louis Rams,Asst. Head Coach/Linebackers
2005,51,NFL,St. Louis Rams,Interim Head Coach/Linebackers
2006,52,NFL,New Orleans Saints,Assistant Head Coach/Linebackers
2007,53,NFL,New Orleans Saints,Assistant Head Coach/Linebackers
2008,54,NFL,New Orleans Saints,Assistant Head Coach/Linebackers
2009,55,NFL,New Orleans Saints,Assistant Head Coach/Linebackers
2010,56,NFL,New Orleans Saints,Assistant Head Coach/Linebackers
2011,57,NFL,New Orleans Saints,Assistant Head Coach/Linebackers
2012,58,NFL,New Orleans Saints,Linebackers/Interim Head Coach
2013,59,NFL,New Orleans Saints,Assistant Head Coach/Linebackers
2014,60,NFL,New Orleans Saints,Assistant Head Coach/Linebackers
2015,61,NFL,New Orleans Saints,Assistant HC/Linebackers
2016,62,NFL,New Orleans Saints,Assistant HC/Linebackers
2017,63,NFL,Miami Dolphins,Consultant
2019,65,NFL,New York Jets,Senior Def. Asst./OLB
2020,66,NFL,New York Jets,Senior Def. Asst./OLB
2023,69,NFL,Denver Broncos,Senior Defensive Asst.
2024,70,NFL,Denver Broncos,Senior Defensive Asst.
2025,71,NFL,Denver Broncos,Senior Defensive Asst.
