,Year,Age,Level,Employer,Role
0,1960,24,College,Allan Hancock Coll.,Assistant Coach
1,1961,25,College,Allan Hancock Coll.,Assistant Coach
2,1962,26,College,Allan Hancock Coll.,Head Coach
3,1963,27,College,Allan Hancock Coll.,Head Coach
4,1964,28,College,San Diego State,Defensive Coordinator
5,1965,29,College,San Diego State,Defensive Coordinator
6,1966,30,College,San Diego State,Defensive Coordinator
7,1967,31,AFL,Oakland Raiders,Linebackers
8,1968,32,AFL,Oakland Raiders,Linebackers
9,1969,33,AFL,Oakland Raiders,Head Coach
10,1970,34,NFL,Oakland Raiders,Head Coach
11,1971,35,NFL,Oakland Raiders,Head Coach
12,1972,36,NFL,Oakland Raiders,Head Coach
13,1973,37,NFL,Oakland Raiders,Head Coach
14,1974,38,NFL,Oakland Raiders,Head Coach
15,1975,39,NFL,Oakland Raiders,Head Coach
16,1976,40,NFL,Oakland Raiders,Head Coach
17,1977,41,NFL,Oakland Raiders,Head Coach
18,1978,42,NFL,Oakland Raiders,Head Coach
