Year,Age,Level,Employer,Role
1953,22,High School,Lancaster HS (OH),Assistant Coach
1954,23,High School,Lancaster HS (OH),Assistant Coach
1955,24,High School,Lancaster HS (OH),Assistant Coach
1956,25,High School,Franklin HS (OH),Head Coach
1957,26,High School,Canton Central Catholic HS (OH),Head Coach
1958,27,High School,Canton Central Catholic HS (OH),Head Coach
1959,28,High School,Canton Central Catholic HS (OH),Head Coach
1960,29,High School,Canton Central Catholic HS (OH),Head Coach
1961,30,High School,Canton Central Catholic HS (OH),Head Coach
1962,31,College,Michigan State,Assistant Coach
1963,32,College,Michigan State,Assistant Coach
1964,33,College,Michigan State,Assistant Coach
1965,34,College,Dayton,Head Coach
1966,35,College,Dayton,Head Coach
1967,36,College,Dayton,Head Coach
1968,37,College,Dayton,Head Coach
1969,38,College,Dayton,Head Coach
1970,39,College,Dayton,Head Coach
1971,40,College,Dayton,Head Coach
1972,41,College,Dayton,Head Coach
1974,43,WFL,Memphis Southmen,Head Coach
1975,44,WFL,Memphis Southmen,Head Coach
1976,45,NFL,New York Giants,Head Coach
1977,46,NFL,New York Giants,Head Coach
1978,47,NFL,New York Giants,Head Coach
