,Year,Age,Level,Employer,Role
0,1954,33,College,Tennessee Tech,Assistant Coach
1,1955,34,College,Tennessee Tech,Assistant Coach
2,1956,35,College,Kentucky,Assistant Coach
3,1957,36,College,Kentucky,Assistant Coach
4,1958,37,College,Kentucky,Assistant Coach
5,1959,38,College,Kentucky,Assistant Coach
6,1960,39,College,Kentucky,Assistant Coach
7,1961,40,College,Kentucky,Assistant Coach
8,1962,41,College,LSU,Assistant Coach
9,1963,42,College,LSU,Assistant Coach
10,1964,43,College,LSU,Assistant Coach
11,1965,44,NFL,Detroit Lions,Receivers
12,1966,45,NFL,Detroit Lions,Receivers
13,1967,46,NFL,Detroit Lions,Receivers
14,1968,47,NFL,Detroit Lions,Receivers
15,1969,48,NFL,Detroit Lions,Receivers
16,1970,49,NFL,Detroit Lions,Receivers
17,1971,50,NFL,Detroit Lions,Receivers
18,1972,51,NFL,Detroit Lions,Receivers
19,1973,52,NFL,New Orleans Saints,Head Coach
20,1974,53,NFL,New Orleans Saints,Head Coach
21,1975,54,NFL,New Orleans Saints,Head Coach
22,1977,56,NFL,Atlanta Falcons,Offensive Backs
23,1978,57,NFL,Atlanta Falcons,Offensive Backs
24,1979,58,NFL,Atlanta Falcons,Offensive Backs
25,1980,59,NFL,Atlanta Falcons,Offensive Backs
26,1981,60,NFL,Atlanta Falcons,Offensive Backs
27,1982,61,NFL,Atlanta Falcons,Offensive Backs
28,1983,62,USFL,New Orleans Breakers,Quarterbacks
