Year,Age,Level,Employer,Role
1951,24,High School,Mt. Diablo HS (CA),Assistant Coach
1952,25,High School,Mt. Diablo HS (CA),Assistant Coach
1953,26,High School,San Lorenzo HS (CA),Head Coach
1954,27,High School,San Lorenzo HS (CA),Head Coach
1955,28,High School,San Lorenzo HS (CA),Head Coach
1956,29,College,California,Assistant Coach
1957,30,College,California,Assistant Coach
1958,31,College,California,Assistant Coach
1959,32,College,Utah State,Head Coach
1960,33,College,Utah State,Head Coach
1961,34,College,Utah State,Head Coach
1962,35,College,Utah State,Head Coach
1963,36,College,Stanford,Head Coach
1964,37,College,Stanford,Head Coach
1965,38,College,Stanford,Head Coach
1966,39,College,Stanford,Head Coach
1967,40,College,Stanford,Head Coach
1968,41,College,Stanford,Head Coach
1969,42,College,Stanford,Head Coach
1970,43,College,Stanford,Head Coach
1971,44,College,Stanford,Head Coach
1972,45,NFL,Denver Broncos,Head Coach
1973,46,NFL,Denver Broncos,Head Coach
1974,47,NFL,Denver Broncos,Head Coach
1975,48,NFL,Denver Broncos,Head Coach
1976,49,NFL,Denver Broncos,Head Coach
1978,51,NFL,Philadelphia Eagles,Offensive Coordinator
1983,56,USFL,Oakland Invaders,Head Coach
1984,57,USFL,Oakland Invaders,Head Coach
1993,66,College,San Jose State,Head Coach
1994,67,College,San Jose State,Head Coach
1995,68,College,San Jose State,Head Coach
1996,69,College,San Jose State,Head Coach
