Year,Age,Level,Employer,Role
1999,23,College (FBS),Michigan State,Graduate Assistant
2001,25,NFL,New England Patriots,Personnel Assistant
2002,26,NFL,New England Patriots,Defensive Assistant
2003,27,NFL,New England Patriots,Defensive Assistant
2004,28,NFL,New England Patriots,Quarterbacks
2005,29,NFL,New England Patriots,Quarterbacks
2006,30,NFL,New England Patriots,Offensive Coordinator/Quarterbacks
2007,31,NFL,New England Patriots,Offensive Coordinator/Quarterbacks
2008,32,NFL,New England Patriots,Offensive Coordinator/Quarterbacks
2009,33,NFL,Denver Broncos,Head Coach
2010,34,NFL,Denver Broncos,Head Coach
2011,35,NFL,St. Louis Rams,Offensive Coordinator/Quarterbacks
2012,36,NFL,New England Patriots,Offensive Coordinator/Quarterbacks
2013,37,NFL,New England Patriots,Offensive Coordinator/Quarterbacks
2014,38,NFL,New England Patriots,Offensive Coordinator/Quarterbacks
2015,39,NFL,New England Patriots,Offensive Coordinator/Quarterbacks
2016,40,NFL,New England Patriots,Offensive Coordinator/Quarterbacks
2017,41,NFL,New England Patriots,Offensive Coordinator/Quarterbacks
2018,42,NFL,New England Patriots,Offensive Coordinator/Quarterbacks
2019,43,NFL,New England Patriots,Offensive Coordinator/Quarterbacks
2020,44,NFL,New England Patriots,Offensive Coordinator
2021,45,NFL,New England Patriots,Offensive Coordinator
2022,46,NFL,Las Vegas Raiders,Head Coach
2023,47,NFL,Las Vegas Raiders,Head Coach
2025,49,NFL,New England Patriots,Offensive Coordinator
