Year,Age,Level,Employer,Role
1938,33,College,Navy,Backfield Coach
1939,34,College,Navy,Backfield Coach
1940,35,College,Navy,Backfield Coach
1941,36,College,Navy,Backfield Coach
1942,37,College,Navy,Backfield Coach
1943,38,College,Navy,Backfield Coach
1944,39,College,Navy,Backfield Coach
1945,40,College,Navy,Backfield Coach
1947,42,PCFL,Hawaiian Warriors,Head Coach
1948,43,PCFL,Hawaiian Warriors,Head Coach
1949,44,AA,Richmond Rebels,Head Coach
1950,45,AA,Richmond Rebels,Head Coach
1952,47,NFL,Pittsburgh Steelers,Backfield Coach
1953,48,NFL,Baltimore Colts,Head Coach
