Year,Age,Level,Employer,Role
1951,22,College,Middle Tenn. St.,Assistant Coach
1952,23,College,Middle Tenn. St.,Assistant Coach
1953,24,College,Middle Tenn. St.,Assistant Coach
1954,25,College,Trinity Coll. (TX),Assistant Coach
1955,26,College,Trinity Coll. (TX),Assistant Coach
1956,27,College,Trinity Coll. (TX),Assistant Coach
1957,28,College,Trinity Coll. (TX),Assistant Coach
1958,29,College,Florida State,Assistant Coach
1959,30,CFL,Montreal Alouettes,Assistant Coach
1960,31,CFL,Montreal Alouettes,Assistant Coach
1961,32,College,Tulsa,Assistant Coach
1962,33,College,Tulsa,Assistant Coach
1963,34,College,South Carolina,Assistant Coach
1964,35,College,Miami (FL),Assistant Coach
1965,36,College,Miami (FL),Assistant Coach
1966,37,College,Miami (FL),Assistant Coach
1967,38,College,Miami (FL),Assistant Coach
1968,39,NFL,St. Louis Cardinals,Receivers
1969,40,NFL,St. Louis Cardinals,Receivers
1970,41,NFL,St. Louis Cardinals,Receivers
1971,42,NFL,New Orleans Saints,Offensive Coordinator
1972,43,NFL,New Orleans Saints,Offensive Coordinator
1973,44,NFL,New York Jets,Offensive Coordinator
1974,45,NFL,New York Jets,Offensive Coordinator
1975,46,NFL,New York Jets,Offensive Coordinator/Interim HC
1976,47,NFL,Detroit Lions,Offensive Coordinator
1977,48,NFL,Houston Oilers,Offensive Coordinator
1978,49,NFL,Houston Oilers,Offensive Coordinator
1981,52,College,South Carolina,Assistant Coach
